file,info.y,info.x,time,pop,n,fsc,chl,pe,vol
Francois.20140319.A.0001.fcs,9,B,09/10/13 10:00:00 AM,synecho,462,18101,10753,13192,0.08
Francois.20140319.A.0001.fcs,9,B,09/10/13 10:00:00 AM,crypto1,71,27050,24858,33147,0.08
Francois.20140319.A.0001.fcs,9,B,09/10/13 10:00:00 AM,crypto2,211,30390,23569,28029,0.08
Francois.20140319.A.0001.fcs,9,B,09/10/13 10:00:00 AM,beads,1235,50701,29314,48564,0.08
Francois.20140319.A.0002.fcs,5,S,09/10/13 09:51:00 AM,synecho,1744,19802,11762,12395,0.08
Francois.20140319.A.0002.fcs,5,S,09/10/13 09:51:00 AM,beads,436,44836,27795,50108,0.08
Francois.20140319.A.0002.fcs,5,S,09/10/13 09:51:00 AM,crypto1,18,29882,23603,31325,0.08
Francois.20140319.A.0002.fcs,5,S,09/10/13 09:51:00 AM,crypto2,258,33644,23245,24085,0.08
Francois.20140319.A.0003.fcs,9,B,09/10/13 10:00:00 AM,crypto1,87,27721,24878,33379,0.08
Francois.20140319.A.0003.fcs,9,B,09/10/13 10:00:00 AM,synecho,839,19493,11268,12697,0.08
Francois.20140319.A.0003.fcs,9,B,09/10/13 10:00:00 AM,beads,1188,50562,29304,48527,0.08
Francois.20140319.A.0003.fcs,9,B,09/10/13 10:00:00 AM,crypto2,160,31886,24931,30935,0.08
Francois.20140319.A.0004.fcs,37,S,09/17/13 01:15:00 PM,beads,652,44358,27776,50259,0.05
Francois.20140319.A.0004.fcs,37,S,09/17/13 01:15:00 PM,synecho,152,17950,7710,12180,0.05
Francois.20140319.A.0004.fcs,37,S,09/17/13 01:15:00 PM,crypto2,186,28959,17058,25823,0.05
Francois.20140319.A.0004.fcs,37,S,09/17/13 01:15:00 PM,crypto1,181,26709,18929,29556,0.05
Francois.20140319.A.0005.fcs,55,M,09/20/13 03:05:00 PM,synecho,98,18963,13810,14177,0.05
Francois.20140319.A.0005.fcs,55,M,09/20/13 03:05:00 PM,beads,1160,44551,27822,50269,0.05
Francois.20140319.A.0005.fcs,55,M,09/20/13 03:05:00 PM,crypto2,120,27696,21720,26645,0.05
Francois.20140319.A.0005.fcs,55,M,09/20/13 03:05:00 PM,crypto1,143,25297,22306,31370,0.05
Francois.20140319.A.0006.fcs,60,B,09/23/13 05:02:00 PM,crypto1,588,22759,22065,30515,0.09
Francois.20140319.A.0006.fcs,60,B,09/23/13 05:02:00 PM,crypto2,804,24915,20551,26468,0.09
Francois.20140319.A.0006.fcs,60,B,09/23/13 05:02:00 PM,synecho,453,18381,14579,15674,0.09
Francois.20140319.A.0006.fcs,60,B,09/23/13 05:02:00 PM,beads,1500,49866,29734,49014,0.09
Francois.20140319.A.0007.fcs,77,B,09/26/13 10:30:00 AM,crypto2,41,30582,22813,28926,0.09
Francois.20140319.A.0007.fcs,77,B,09/26/13 10:30:00 AM,crypto1,830,25318,26377,34880,0.09
Francois.20140319.A.0007.fcs,77,B,09/26/13 10:30:00 AM,synecho,370,19395,16181,19959,0.09
Francois.20140319.A.0007.fcs,77,B,09/26/13 10:30:00 AM,beads,1325,49878,29643,48928,0.09
Francois.20140319.A.0008.fcs,83,B,09/27/13 10:00:00 AM,synecho,234,19420,16030,18360,0.1
Francois.20140319.A.0008.fcs,83,B,09/27/13 10:00:00 AM,beads,1356,49821,29617,48872,0.1
Francois.20140319.A.0008.fcs,83,B,09/27/13 10:00:00 AM,crypto1,828,25786,26476,35040,0.1
Francois.20140319.A.0008.fcs,83,B,09/27/13 10:00:00 AM,crypto2,49,30305,24393,27180,0.1
Francois.20140319.A.0009.fcs,93,M,09/30/13 11:45:00 AM,crypto2,297,26504,26196,33477,0.09
Francois.20140319.A.0009.fcs,93,M,09/30/13 11:45:00 AM,beads,1329,49977,29616,48887,0.09
Francois.20140319.A.0009.fcs,93,M,09/30/13 11:45:00 AM,crypto1,295,23352,26267,35349,0.09
Francois.20140319.A.0009.fcs,93,M,09/30/13 11:45:00 AM,synecho,851,19280,17524,20560,0.09
Francois.20140319.A.0010.fcs,103,M,10/02/13 12:30:00 PM,crypto2,29,31927,28188,32286,0.08
Francois.20140319.A.0010.fcs,103,M,10/02/13 12:30:00 PM,beads,1383,50015,29690,48973,0.08
Francois.20140319.A.0010.fcs,103,M,10/02/13 12:30:00 PM,synecho,470,19623,18412,21670,0.08
Francois.20140319.A.0010.fcs,103,M,10/02/13 12:30:00 PM,crypto1,764,25065,26872,35942,0.08
Francois.20140319.A.0011.fcs,111,S,10/03/13 01:50:00 PM,crypto1,261,25538,27361,36382,0.08
Francois.20140319.A.0011.fcs,111,S,10/03/13 01:50:00 PM,crypto2,88,34523,26780,32639,0.08
Francois.20140319.A.0011.fcs,111,S,10/03/13 01:50:00 PM,beads,511,44015,27484,50219,0.08
Francois.20140319.A.0011.fcs,111,S,10/03/13 01:50:00 PM,synecho,800,20331,19223,22355,0.08
Francois.20140321.A.0001.fcs,7,M,09/10/13 10:00:00 AM,crypto2,309,31362,15880,24324,0.03
Francois.20140321.A.0001.fcs,7,M,09/10/13 10:00:00 AM,beads,284,50119,29865,49108,0.03
Francois.20140321.A.0001.fcs,7,M,09/10/13 10:00:00 AM,synecho,552,18634,10469,14364,0.03
Francois.20140321.A.0001.fcs,7,M,09/10/13 10:00:00 AM,crypto1,8,18692,14530,26235,0.03
Francois.20140321.A.0002.fcs,19,M,09/12/13 09:51:00 AM,crypto2,143,31061,25540,27537,0.12
Francois.20140321.A.0002.fcs,19,M,09/12/13 09:51:00 AM,crypto1,701,26572,25511,33480,0.12
Francois.20140321.A.0002.fcs,19,M,09/12/13 09:51:00 AM,synecho,1177,18831,15662,16516,0.12
Francois.20140321.A.0002.fcs,19,M,09/12/13 09:51:00 AM,beads,1904,50052,29681,48955,0.12
Francois.20140321.A.0003.fcs,51,S,09/19/13 04:30:00 PM,synecho,1160,19301,8937,12114,0.07
Francois.20140321.A.0003.fcs,51,S,09/19/13 04:30:00 PM,crypto2,248,31346,17693,25196,0.07
Francois.20140321.A.0003.fcs,51,S,09/19/13 04:30:00 PM,beads,1172,49802,29589,48863,0.07
Francois.20140321.A.0003.fcs,51,S,09/19/13 04:30:00 PM,crypto1,252,28456,19527,30433,0.07
Francois.20140321.A.0004.fcs,63,S,09/23/13 05:02:00 PM,beads,1287,49877,29667,48897,0.07
Francois.20140321.A.0004.fcs,63,S,09/23/13 05:02:00 PM,synecho,499,18448,14592,16089,0.07
Francois.20140321.A.0004.fcs,63,S,09/23/13 05:02:00 PM,crypto2,829,25278,21186,26037,0.07
Francois.20140321.A.0004.fcs,63,S,09/23/13 05:02:00 PM,crypto1,638,22546,21734,29860,0.07
Francois.20140321.A.0005.fcs,89,B,09/30/13 11:45:00 AM,crypto1,327,23466,26341,35559,0.09
Francois.20140321.A.0005.fcs,89,B,09/30/13 11:45:00 AM,synecho,794,19026,18392,20729,0.09
Francois.20140321.A.0005.fcs,89,B,09/30/13 11:45:00 AM,crypto2,335,25689,25837,32825,0.09
Francois.20140321.A.0005.fcs,89,B,09/30/13 11:45:00 AM,beads,1277,49866,29601,48846,0.09
Francois.20140321.A.0006.fcs,95,B,10/01/13 11:50:00 AM,crypto2,374,26606,26452,33928,0.11
Francois.20140321.A.0006.fcs,95,B,10/01/13 11:50:00 AM,beads,1429,49858,29632,48887,0.11
Francois.20140321.A.0006.fcs,95,B,10/01/13 11:50:00 AM,crypto1,558,23504,25596,34853,0.11
Francois.20140321.A.0006.fcs,95,B,10/01/13 11:50:00 AM,synecho,697,19411,18328,20804,0.11
Francois.20140321.A.0007.fcs,107,B,10/03/13 01:50:00 PM,synecho,224,20159,17722,21865,0.11
Francois.20140321.A.0007.fcs,107,B,10/03/13 01:50:00 PM,crypto1,842,25346,27877,36760,0.11
Francois.20140321.A.0007.fcs,107,B,10/03/13 01:50:00 PM,beads,1405,49871,29611,48884,0.11
Francois.20140321.A.0007.fcs,107,B,10/03/13 01:50:00 PM,crypto2,21,31450,26832,31725,0.11
Ribalet.20140327.A.0001.fcs,17,S,09/12/13 09:51:00 AM,crypto2,373,28893,24334,27382,0.09
Ribalet.20140327.A.0001.fcs,17,S,09/12/13 09:51:00 AM,beads,126,49629,29170,48318,0.09
Ribalet.20140327.A.0001.fcs,17,S,09/12/13 09:51:00 AM,crypto1,192,25266,24679,33160,0.09
Ribalet.20140327.A.0001.fcs,17,S,09/12/13 09:51:00 AM,synecho,1544,17916,13865,15378,0.09
Ribalet.20140327.A.0002.fcs,27,S,09/13/13 09:15:00 AM,crypto2,324,27512,24160,30090,0.09
Ribalet.20140327.A.0002.fcs,27,S,09/13/13 09:15:00 AM,beads,275,49433,29088,48231,0.09
Ribalet.20140327.A.0002.fcs,27,S,09/13/13 09:15:00 AM,crypto1,256,25280,25654,34697,0.09
Ribalet.20140327.A.0002.fcs,27,S,09/13/13 09:15:00 AM,synecho,170,18267,13317,15509,0.09
Ribalet.20140327.A.0003.fcs,31,S,09/16/13 12:38:00 PM,crypto1,205,26039,26477,35748,0.09
Ribalet.20140327.A.0003.fcs,31,S,09/16/13 12:38:00 PM,synecho,581,17647,15540,16848,0.09
Ribalet.20140327.A.0003.fcs,31,S,09/16/13 12:38:00 PM,crypto2,247,27875,25408,32170,0.09
Ribalet.20140327.A.0003.fcs,31,S,09/16/13 12:38:00 PM,beads,141,48939,28545,47804,0.09
Ribalet.20140327.A.0004.fcs,65,B,09/24/13 03:23:00 PM,crypto2,257,24874,21480,25512,0.04
Ribalet.20140327.A.0004.fcs,65,B,09/24/13 03:23:00 PM,crypto1,164,21831,21680,29104,0.04
Ribalet.20140327.A.0004.fcs,65,B,09/24/13 03:23:00 PM,synecho,258,17727,14496,14469,0.04
Ribalet.20140327.A.0004.fcs,65,B,09/24/13 03:23:00 PM,beads,39,48701,28680,47904,0.04
