file,info,date,time
Ribalet.20140403.A.0001.fcs,1 S,09/09/13,04:38:00 PM
Ribalet.20140403.A.0009.fcs,3 B,09/09/13,04:40:00 PM
Ribalet.20140403.A.0010.fcs,5 M,09/09/13,04:40:00 PM
Francois.20140319.A.0002.fcs,5 S,09/10/13,09:51:00 AM
Francois.20140321.A.0001.fcs,7 M,09/10/13,10:00:00 AM
Francois.20140319.A.0001.fcs,9 B,09/10/13,10:00:00 AM
Francois.20140319.A.0003.fcs,9 B,09/10/13,10:00:00 AM
Ribalet.20140404.A.0001.fcs,11 S,09/11/13,09:30:00 AM
Ribalet.20140826.A.0001.fcs,13 M,09/11/13,09:30:00 AM
Ribalet.20140403.A.0002.fcs,15 B,09/11/13,09:30:00 AM
Ribalet.20140327.A.0001.fcs,17 S,09/12/13,09:51:00 AM
Francois.20140321.A.0002.fcs,19 M,09/12/13,09:51:00 AM
Ribalet.20140404.A.0002.fcs,21 B,09/12/13,09:51:00 AM
Ribalet.20140328.A.0001.fcs,23 S,09/13/13,09:27:00 AM
Ribalet.20140403.A.0003.fcs,25 M,09/13/13,09:20:00 AM
Ribalet.20140327.A.0002.fcs,27 B,09/13/13,09:15:00 AM
Ribalet.20140404.A.0003.fcs,29 M,09/16/13,12:35:00 PM
Ribalet.20140327.A.0003.fcs,31 S,09/16/13,12:38:00 PM
Ribalet.20140328.A.0002.fcs,33 B,09/16/13,12:40:00 PM
Ribalet.20140404.A.0004.fcs,35 M,09/17/13,01:15:00 PM
Francois.20140319.A.0004.fcs,37 S,09/17/13,01:15:00 PM
Ribalet.20140403.A.0004.fcs,39 B,09/17/13,01:15:00 PM
Ribalet.20140404.A.0005.fcs,41 B,09/18/13,01:50:00 PM
Ribalet.20140826.A.0002.fcs,43 M,09/18/13,01:50:00 PM
Ribalet.20140826.A.0003.fcs,45 S,09/18/13,01:50:00 PM
Ribalet.20140403.A.0011.fcs,47 B,09/19/13,04:30:00 PM
Ribalet.20140826.A.0004.fcs,49 M,09/19/13,04:30:00 PM
Francois.20140321.A.0003.fcs,51 S,09/19/13,04:30:00 PM
Ribalet.20140826.A.0005.fcs,53 B,09/20/13,03:05:00 PM
Francois.20140319.A.0005.fcs,55 M,09/20/13,03:05:00 PM
Ribalet.20140403.A.0005.fcs,57 S,09/20/13,03:05:00 PM
Francois.20140319.A.0006.fcs,60 B,09/23/13,05:02:00 PM
Ribalet.20140404.A.0006.fcs,61 M,09/23/13,05:02:00 PM
Francois.20140321.A.0004.fcs,63 S,09/23/13,05:02:00 PM
Ribalet.20140327.A.0004.fcs,65 B,09/24/13,03:23:00 PM
Ribalet.20140403.A.0006.fcs,67 M,09/24/13,03:28:00 PM
Ribalet.20140403.A.0013.fcs,69 S,09/24/13,03:34:00 PM
Ribalet.20140826.A.0006.fcs,71 B,09/25/13,02:43:00 PM
Ribalet.20140327.A.0005.fcs,73 M,09/25/13,02:57:00 PM
Ribalet.20140403.A.0012.fcs,75 S,09/25/13,02:45:00 PM
Francois.20140319.A.0007.fcs,77 B,09/26/13,10:30:00 AM
Ribalet.20140404.A.0007.fcs,79 M,09/26/13,10:30:00 AM
Ribalet.20140403.A.0007.fcs,81 S,09/26/13,10:30:00 AM
Francois.20140319.A.0008.fcs,83 B,09/27/13,10:00:00 AM
Ribalet.20140328.A.0003.fcs,85 M,09/27/13,10:05:00 AM
Ribalet.20140404.A.0008.fcs,87 S,09/27/13,10:03:00 AM
Francois.20140321.A.0005.fcs,89 B,09/30/13,11:45:00 AM
Francois.20140319.A.0009.fcs,93 M,09/30/13,11:45:00 AM
Ribalet.20140404.A.0009.fcs,93 S,09/30/13,11:45:00 AM
Francois.20140321.A.0006.fcs,95 B,10/01/13,11:50:00 AM
Ribalet.20140403.A.0008.fcs,97 M,10/01/13,11:45:00 AM
Ribalet.20140328.A.0004.fcs,99 S,10/01/13,11:40:00 AM
Ribalet.20140404.A.0010.fcs,101 B,10/02/13,12:30:00 PM
Francois.20140319.A.0010.fcs,103 M,10/02/13,12:30:00 PM
Ribalet.20140826.A.0007.fcs,105 S,10/02/13,12:30:00 PM
Francois.20140321.A.0007.fcs,107 B,10/03/13,01:50:00 PM
Ribalet.20140328.A.0005.fcs,109 M,10/03/13,01:50:00 PM
Francois.20140319.A.0011.fcs,111 S,10/03/13,01:50:00 PM
