"i","n","fsc","chl","ssc","green","file"
"beads","1235","50685","29295","50632","62732","Francois.20140319.A.0001.fcs"
"synecho","462","18404","12324","19896","1956","Francois.20140319.A.0001.fcs"
"prochloro","0","0","0","19896","1956","Francois.20140319.A.0001.fcs"
"heteroBact","0","0","0","19896","1956","Francois.20140319.A.0001.fcs"
"beads","33","48753","29138","52088","62590","Francois.20140319.A.0002.fcs"
"synecho","785","19128","12159","18324","1251","Francois.20140319.A.0002.fcs"
"prochloro","0","0","0","18324","1251","Francois.20140319.A.0002.fcs"
"heteroBact","0","0","0","18324","1251","Francois.20140319.A.0002.fcs"
"beads","1186","50564","29270","49810","62696","Francois.20140319.A.0003.fcs"
"synecho","485","18388","12875","18097","2212","Francois.20140319.A.0003.fcs"
"prochloro","0","0","0","18097","2212","Francois.20140319.A.0003.fcs"
"heteroBact","0","0","0","18097","2212","Francois.20140319.A.0003.fcs"
"beads","20","47922","28974","53665","62414","Francois.20140319.A.0004.fcs"
"synecho","96","19888","11162","14187","3469","Francois.20140319.A.0004.fcs"
"prochloro","0","0","0","14187","3469","Francois.20140319.A.0004.fcs"
"heteroBact","0","0","0","14187","3469","Francois.20140319.A.0004.fcs"
"beads","7","44564","29455","35390","65535","Francois.20140319.A.0005.fcs"
"synecho","95","18627","15369","14976","1936","Francois.20140319.A.0005.fcs"
"prochloro","0","0","0","14976","1936","Francois.20140319.A.0005.fcs"
"heteroBact","0","0","0","14976","1936","Francois.20140319.A.0005.fcs"
"beads","1500","49874","29702","49264","63314","Francois.20140319.A.0006.fcs"
"synecho","453","18662","16198","17961","2447","Francois.20140319.A.0006.fcs"
"prochloro","0","0","0","17961","2447","Francois.20140319.A.0006.fcs"
"heteroBact","0","0","0","17961","2447","Francois.20140319.A.0006.fcs"
"beads","1324","49872","29600","49284","63229","Francois.20140319.A.0007.fcs"
"synecho","195","18933","15598","16471","1267","Francois.20140319.A.0007.fcs"
"prochloro","0","0","0","16471","1267","Francois.20140319.A.0007.fcs"
"heteroBact","0","0","0","16471","1267","Francois.20140319.A.0007.fcs"
"beads","1375","49855","29630","49278","63233","Francois.20140319.A.0008.fcs"
"synecho","182","19126","15796","17178","1315","Francois.20140319.A.0008.fcs"
"prochloro","0","0","0","17178","1315","Francois.20140319.A.0008.fcs"
"heteroBact","0","0","0","17178","1315","Francois.20140319.A.0008.fcs"
"beads","1328","49985","29593","49312","63156","Francois.20140319.A.0009.fcs"
"synecho","381","17869","15764","15995","1339","Francois.20140319.A.0009.fcs"
"prochloro","0","0","0","15995","1339","Francois.20140319.A.0009.fcs"
"heteroBact","0","0","0","15995","1339","Francois.20140319.A.0009.fcs"
"beads","1382","50024","29672","49371","63216","Francois.20140319.A.0010.fcs"
"synecho","128","17734","15923","16196","1102","Francois.20140319.A.0010.fcs"
"prochloro","0","0","0","16196","1102","Francois.20140319.A.0010.fcs"
"heteroBact","0","0","0","16196","1102","Francois.20140319.A.0010.fcs"
"beads","29","48638","29489","51914","63052","Francois.20140319.A.0011.fcs"
"synecho","198","18328","16364","16748","1572","Francois.20140319.A.0011.fcs"
"prochloro","0","0","0","16748","1572","Francois.20140319.A.0011.fcs"
"heteroBact","0","0","0","16748","1572","Francois.20140319.A.0011.fcs"
"beads","284","50106","29847","49418","63471","Francois.20140321.A.0001.fcs"
"synecho","552","19010","12609","19886","2663","Francois.20140321.A.0001.fcs"
"prochloro","0","0","0","19886","2663","Francois.20140321.A.0001.fcs"
"heteroBact","0","0","0","19886","2663","Francois.20140321.A.0001.fcs"
"beads","1913","50088","29696","49306","63319","Francois.20140321.A.0002.fcs"
"synecho","1084","18652","15576","17091","848","Francois.20140321.A.0002.fcs"
"prochloro","0","0","0","17091","848","Francois.20140321.A.0002.fcs"
"heteroBact","0","0","0","17091","848","Francois.20140321.A.0002.fcs"
"beads","1177","49874","29640","49279","63336","Francois.20140321.A.0003.fcs"
"synecho","577","18417","11861","18541","1653","Francois.20140321.A.0003.fcs"
"prochloro","0","0","0","18541","1653","Francois.20140321.A.0003.fcs"
"heteroBact","0","0","0","18541","1653","Francois.20140321.A.0003.fcs"
"beads","1287","49943","29706","49341","63367","Francois.20140321.A.0004.fcs"
"synecho","499","18745","15383","17135","2078","Francois.20140321.A.0004.fcs"
"prochloro","0","0","0","17135","2078","Francois.20140321.A.0004.fcs"
"heteroBact","0","0","0","17135","2078","Francois.20140321.A.0004.fcs"
"beads","1281","49938","29663","49402","63340","Francois.20140321.A.0005.fcs"
"synecho","299","17665","16594","15915","548","Francois.20140321.A.0005.fcs"
"prochloro","0","0","0","15915","548","Francois.20140321.A.0005.fcs"
"heteroBact","0","0","0","15915","548","Francois.20140321.A.0005.fcs"
"beads","1426","49896","29656","49290","63360","Francois.20140321.A.0006.fcs"
"synecho","313","17786","16372","16418","2762","Francois.20140321.A.0006.fcs"
"prochloro","0","0","0","16418","2762","Francois.20140321.A.0006.fcs"
"heteroBact","0","0","0","16418","2762","Francois.20140321.A.0006.fcs"
"beads","1400","49985","29629","49346","63362","Francois.20140321.A.0007.fcs"
"synecho","64","18536","15177","16398","138","Francois.20140321.A.0007.fcs"
"prochloro","0","0","0","16398","138","Francois.20140321.A.0007.fcs"
"heteroBact","0","0","0","16398","138","Francois.20140321.A.0007.fcs"
"beads","126","49772","29032","48284","62786","Ribalet.20140327.A.0001.fcs"
"synecho","1544","18028","14028","16534","598","Ribalet.20140327.A.0001.fcs"
