stages,freq.dist,size.dist,time,fsc_beads
1,7.5683501869559e-19,0,2013-09-19 00:00:21,175
1.011,3.18513985771055e-19,0,2013-09-19 00:00:21,175
1.023,2.79257575971888e-19,0,2013-09-19 00:00:21,175
1.034,3.63224444702209e-19,0,2013-09-19 00:00:21,175
1.046,4.79916407420396e-19,0,2013-09-19 00:00:21,175
1.058,7.67048399277598e-19,0,2013-09-19 00:00:21,175
1.07,4.70766305104312e-19,0,2013-09-19 00:00:21,175
1.082,3.39400648469077e-19,0,2013-09-19 00:00:21,175
1.094,3.24904601587472e-19,0,2013-09-19 00:00:21,175
1.107,4.50964929057368e-19,0,2013-09-19 00:00:21,175
1.119,5.60777029320738e-19,0,2013-09-19 00:00:21,175
1.132,4.18598454987468e-19,0,2013-09-19 00:00:21,175
1.145,5.45576495347448e-19,0,2013-09-19 00:00:21,175
1.158,4.96829152695707e-19,0,2013-09-19 00:00:21,175
1.171,5.52428248367015e-19,0,2013-09-19 00:00:21,175
1.184,6.65297617575885e-19,0,2013-09-19 00:00:21,175
1.197,7.94191668139108e-19,0,2013-09-19 00:00:21,175
1.211,9.72756704037978e-19,0,2013-09-19 00:00:21,175
1.225,1.25493012706016e-18,0,2013-09-19 00:00:21,175
1.238,2.17040861311186e-18,0,2013-09-19 00:00:21,175
1.252,2.91375589842803e-18,0,2013-09-19 00:00:21,175
1.267,3.74959826677689e-18,0,2013-09-19 00:00:21,175
1.281,4.98835772907127e-18,0,2013-09-19 00:00:21,175
1.295,6.72153806523736e-18,0,2013-09-19 00:00:21,175
1.31,9.14822950322808e-18,0,2013-09-19 00:00:21,175
1.325,1.27295868232013e-17,0,2013-09-19 00:00:21,175
1.34,1.72373039108095e-17,0,2013-09-19 00:00:21,175
1.355,2.32386234838548e-17,0,2013-09-19 00:00:21,175
1.37,3.14083505709548e-17,0,2013-09-19 00:00:21,175
1.386,4.23131354040876e-17,0,2013-09-19 00:00:21,175
1.402,5.7183674797356e-17,0,2013-09-19 00:00:21,175
1.417,7.75215399763673e-17,0,2013-09-19 00:00:21,175
1.434,1.0476807168863e-16,0,2013-09-19 00:00:21,175
1.45,1.40975913043303e-16,0,2013-09-19 00:00:21,175
1.466,1.88841430285216e-16,0,2013-09-19 00:00:21,175
1.483,2.51781030257574e-16,0,2013-09-19 00:00:21,175
1.5,3.37928576306244e-16,0,2013-09-19 00:00:21,175
1.516,4.54932044788127e-16,0,2013-09-19 00:00:21,175
1.534,6.09413487243286e-16,0,2013-09-19 00:00:21,175
1.551,8.12337993525184e-16,0,2013-09-19 00:00:21,175
1.569,1.07737990424158e-15,0,2013-09-19 00:00:21,175
1.586,1.42111732672873e-15,0,2013-09-19 00:00:21,175
1.604,1.89395533168699e-15,0,2013-09-19 00:00:21,175
1.622,2.52367639038536e-15,0,2013-09-19 00:00:21,175
1.641,3.34845119261906e-15,0,2013-09-19 00:00:21,175
1.659,4.42249771100497e-15,0,2013-09-19 00:00:21,175
1.678,5.81294727049223e-15,0,2013-09-19 00:00:21,175
1.697,7.60222994344386e-15,0,2013-09-19 00:00:21,175
1.716,1.00444127023585e-14,0,2013-09-19 00:00:21,175
1.736,1.32582595029104e-14,0,2013-09-19 00:00:21,175
1.755,1.74277501041468e-14,0,2013-09-19 00:00:21,175
1.775,2.28089199823867e-14,0,2013-09-19 00:00:21,175
1.795,2.97155181664447e-14,0,2013-09-19 00:00:21,175
1.816,3.85277591698306e-14,0,2013-09-19 00:00:21,175
1.836,5.04688799003165e-14,0,2013-09-19 00:00:21,175
1.857,6.59929936590878e-14,0,2013-09-19 00:00:21,175
1.878,8.59466284136272e-14,0,2013-09-19 00:00:21,175
1.899,1.11466726652405e-13,0,2013-09-19 00:00:21,175
1.921,1.4393490997664e-13,0,2013-09-19 00:00:21,175
1.943,1.85011801933641e-13,0,2013-09-19 00:00:21,175
1.965,2.40266354394554e-13,0,2013-09-19 00:00:21,175
1.987,3.11235207785214e-13,0,2013-09-19 00:00:21,175
2.009,4.01611412663175e-13,0,2013-09-19 00:00:21,175
2.032,5.16159236479494e-13,0,2013-09-19 00:00:21,175
2.055,6.60620921641172e-13,0,2013-09-19 00:00:21,175
2.078,8.41846002998559e-13,0,2013-09-19 00:00:21,175
2.102,1.08376605043003e-12,0,2013-09-19 00:00:21,175
2.126,1.39079199129008e-12,0,2013-09-19 00:00:21,175
2.15,1.77817874284015e-12,0,2013-09-19 00:00:21,175
2.174,2.26476244096804e-12,0,2013-09-19 00:00:21,175
2.199,2.8730598152867e-12,0,2013-09-19 00:00:21,175
2.223,3.63057931881109e-12,0,2013-09-19 00:00:21,175
