stages,freq.dist,size.dist,time,fsc_beads
1,1.55184054390124e-18,0,2013-09-20 00:00:21,179
1.011,1.60345534235128e-18,0,2013-09-20 00:00:21,179
1.023,9.74576633790072e-19,0,2013-09-20 00:00:21,179
1.034,1.14265317468312e-18,0,2013-09-20 00:00:21,179
1.046,1.51020641802867e-18,0,2013-09-20 00:00:21,179
1.058,1.99340694884269e-18,0,2013-09-20 00:00:21,179
1.07,2.27503773184055e-18,0,2013-09-20 00:00:21,179
1.082,1.96364249513354e-18,0,2013-09-20 00:00:21,179
1.094,2.43224090581953e-18,0,2013-09-20 00:00:21,179
1.107,2.94016878669386e-18,0,2013-09-20 00:00:21,179
1.119,1.44602002011022e-18,0,2013-09-20 00:00:21,179
1.132,1.85914627775401e-18,0,2013-09-20 00:00:21,179
1.145,1.2328561947756e-18,0,2013-09-20 00:00:21,179
1.158,1.12962648014345e-18,0,2013-09-20 00:00:21,179
1.171,1.48978232272497e-19,0,2013-09-20 00:00:21,179
1.184,3.61367561765785e-19,0,2013-09-20 00:00:21,179
1.197,2.72249999002209e-19,0,2013-09-20 00:00:21,179
1.211,6.6502799646103e-19,0,2013-09-20 00:00:21,179
1.225,3.35043883962128e-19,0,2013-09-20 00:00:21,179
1.238,5.63572586349331e-19,0,2013-09-20 00:00:21,179
1.252,8.44803271960188e-19,0,2013-09-20 00:00:21,179
1.267,5.71232872404433e-19,0,2013-09-20 00:00:21,179
1.281,1.35856441148726e-19,0,2013-09-20 00:00:21,179
1.295,0,0,2013-09-20 00:00:21,179
1.31,1.29241101154853e-19,0,2013-09-20 00:00:21,179
1.325,3.68088314970257e-19,0,2013-09-20 00:00:21,179
1.34,2.14816805485877e-19,0,2013-09-20 00:00:21,179
1.355,2.99932621992861e-20,0,2013-09-20 00:00:21,179
1.37,1.48016726030178e-19,0,2013-09-20 00:00:21,179
1.386,1.36196392122799e-19,0,2013-09-20 00:00:21,179
1.402,1.55893857532571e-19,0,2013-09-20 00:00:21,179
1.417,4.13605085572984e-19,0,2013-09-20 00:00:21,179
1.434,3.65733778995085e-19,0,2013-09-20 00:00:21,179
1.45,3.07973105581561e-19,0,2013-09-20 00:00:21,179
1.466,5.18805583352255e-19,0,2013-09-20 00:00:21,179
1.483,1.87655429114286e-19,0,2013-09-20 00:00:21,179
1.5,4.5814197332569e-19,0,2013-09-20 00:00:21,179
1.516,1.22805280101198e-18,0,2013-09-20 00:00:21,179
1.534,2.09397025788808e-19,0,2013-09-20 00:00:21,179
1.551,6.01717593410283e-19,0,2013-09-20 00:00:21,179
1.569,1.25425943035069e-18,0,2013-09-20 00:00:21,179
1.586,4.36080072752499e-19,0,2013-09-20 00:00:21,179
1.604,1.52705124850894e-18,0,2013-09-20 00:00:21,179
1.622,1.07047609959445e-18,0,2013-09-20 00:00:21,179
1.641,8.28254764263174e-19,0,2013-09-20 00:00:21,179
1.659,2.06854216840038e-18,0,2013-09-20 00:00:21,179
1.678,1.90490606199965e-18,0,2013-09-20 00:00:21,179
1.697,1.48140018280983e-18,0,2013-09-20 00:00:21,179
1.716,1.69883592997409e-18,0,2013-09-20 00:00:21,179
1.736,1.8953418665569e-18,0,2013-09-20 00:00:21,179
1.755,2.67689918444136e-18,0,2013-09-20 00:00:21,179
1.775,3.34863761270353e-18,0,2013-09-20 00:00:21,179
1.795,4.23398470858093e-18,0,2013-09-20 00:00:21,179
1.816,2.17593378298791e-18,0,2013-09-20 00:00:21,179
1.836,1.14603211231721e-18,0,2013-09-20 00:00:21,179
1.857,1.62603328096961e-18,0,2013-09-20 00:00:21,179
1.878,1.4561784384719e-18,0,2013-09-20 00:00:21,179
1.899,1.25767732672914e-18,0,2013-09-20 00:00:21,179
1.921,1.80936153266179e-18,0,2013-09-20 00:00:21,179
1.943,2.48533590452449e-18,0,2013-09-20 00:00:21,179
1.965,1.37854026332413e-18,0,2013-09-20 00:00:21,179
1.987,1.24881241372112e-18,0,2013-09-20 00:00:21,179
2.009,8.31004613880217e-19,0,2013-09-20 00:00:21,179
2.032,9.621072179743e-19,0,2013-09-20 00:00:21,179
2.055,1.02999508765879e-18,0,2013-09-20 00:00:21,179
