stages,freq.dist,size.dist,time,fsc_beads
1,5.37771063452516e-21,0,2014-09-22 19:21:43,57
1.008,1.502195526886e-19,0,2014-09-22 19:21:43,57
1.016,8.51595111320244e-20,0,2014-09-22 19:21:43,57
1.024,1.40682783386399e-20,0,2014-09-22 19:21:43,57
1.032,0,0,2014-09-22 19:21:43,57
1.04,0,0,2014-09-22 19:21:43,57
1.048,0,0,2014-09-22 19:21:43,57
1.057,0,0,2014-09-22 19:21:43,57
1.065,0,0,2014-09-22 19:21:43,57
1.073,0,0,2014-09-22 19:21:43,57
1.082,0,0,2014-09-22 19:21:43,57
1.091,9.41365614512164e-20,0,2014-09-22 19:21:43,57
1.099,1.55310780708048e-19,0,2014-09-22 19:21:43,57
1.108,0,0,2014-09-22 19:21:43,57
1.117,0,0,2014-09-22 19:21:43,57
1.125,0,0,2014-09-22 19:21:43,57
1.134,0,0,2014-09-22 19:21:43,57
1.143,0,0,2014-09-22 19:21:43,57
1.152,0,0,2014-09-22 19:21:43,57
1.161,0,0,2014-09-22 19:21:43,57
1.171,0,0,2014-09-22 19:21:43,57
1.18,0,0,2014-09-22 19:21:43,57
1.189,0,0,2014-09-22 19:21:43,57
1.199,0,0,2014-09-22 19:21:43,57
1.208,0,0,2014-09-22 19:21:43,57
1.218,0,0,2014-09-22 19:21:43,57
1.227,3.01686848716966e-20,0,2014-09-22 19:21:43,57
1.237,1.97207835601565e-20,0,2014-09-22 19:21:43,57
1.247,2.53501728903964e-20,0,2014-09-22 19:21:43,57
1.257,4.74802124412029e-20,0,2014-09-22 19:21:43,57
1.267,2.69485515321062e-20,0,2014-09-22 19:21:43,57
1.277,0,0,2014-09-22 19:21:43,57
1.287,0,0,2014-09-22 19:21:43,57
1.297,0,0,2014-09-22 19:21:43,57
1.307,0,0,2014-09-22 19:21:43,57
1.317,0,0,2014-09-22 19:21:43,57
1.328,0,0,2014-09-22 19:21:43,57
1.338,0,0,2014-09-22 19:21:43,57
1.349,0,0,2014-09-22 19:21:43,57
1.36,0,0,2014-09-22 19:21:43,57
1.37,8.78386268875991e-20,0,2014-09-22 19:21:43,57
1.381,5.34503674292562e-20,0,2014-09-22 19:21:43,57
1.392,8.37941097870315e-21,0,2014-09-22 19:21:43,57
1.403,0,0,2014-09-22 19:21:43,57
1.414,3.42822894811999e-20,0,2014-09-22 19:21:43,57
1.425,4.74802124412029e-20,0,2014-09-22 19:21:43,57
1.437,1.80164349413031e-20,0,2014-09-22 19:21:43,57
1.448,0,0,2014-09-22 19:21:43,57
1.46,3.69678982779e-20,0,2014-09-22 19:21:43,57
1.471,3.78663043698798e-20,0,2014-09-22 19:21:43,57
1.483,0,0,2014-09-22 19:21:43,57
1.494,0,0,2014-09-22 19:21:43,57
1.506,9.00494493360002e-20,0,2014-09-22 19:21:43,57
1.518,2.09287361255118e-19,0,2014-09-22 19:21:43,57
1.53,0,0,2014-09-22 19:21:43,57
1.542,0,0,2014-09-22 19:21:43,57
1.555,0,0,2014-09-22 19:21:43,57
1.567,0,0,2014-09-22 19:21:43,57
1.579,0,0,2014-09-22 19:21:43,57
1.592,0,0,2014-09-22 19:21:43,57
1.604,0,0,2014-09-22 19:21:43,57
1.617,8.16103001627063e-20,0,2014-09-22 19:21:43,57
1.63,1.8168636700999e-20,0,2014-09-22 19:21:43,57
1.643,0,0,2014-09-22 19:21:43,57
1.656,0,0,2014-09-22 19:21:43,57
1.669,0,0,2014-09-22 19:21:43,57
1.682,0,0,2014-09-22 19:21:43,57
1.695,0,0,2014-09-22 19:21:43,57
1.709,0,0,2014-09-22 19:21:43,57
1.722,0,0,2014-09-22 19:21:43,57
1.736,0,0,2014-09-22 19:21:43,57
1.749,0,0,2014-09-22 19:21:43,57
1.763,0,0,2014-09-22 19:21:43,57
1.777,0,0,2014-09-22 19:21:43,57
1.791,0,0,2014-09-22 19:21:43,57
1.806,0,0,2014-09-22 19:21:43,57
1.82,0,0,2014-09-22 19:21:43,57
1.834,0,0,2014-09-22 19:21:43,57
1.849,0,0,2014-09-22 19:21:43,57
1.863,0,0,2014-09-22 19:21:43,57
1.878,0,0,2014-09-22 19:21:43,57
1.893,0,0,2014-09-22 19:21:43,57
1.908,0,0,2014-09-22 19:21:43,57
1.923,0,0,2014-09-22 19:21:43,57
1.938,0,0,2014-09-22 19:21:43,57
1.953,0,0,2014-09-22 19:21:43,57
1.969,0,0,2014-09-22 19:21:43,57
1.985,0,0,2014-09-22 19:21:43,57
2,0,0,2014-09-22 19:21:43,57
2.016,0,0,2014-09-22 19:21:43,57
2.032,0,0,2014-09-22 19:21:43,57
2.048,0,0,2014-09-22 19:21:43,57
2.064,0,0,2014-09-22 19:21:43,57
2.081,0,0,2014-09-22 19:21:43,57
2.097,0,0,2014-09-22 19:21:43,57
2.114,0,0,2014-09-22 19:21:43,57
2.13,0,0,2014-09-22 19:21:43,57
2.147,0,0,2014-09-22 19:21:43,57
2.164,0,0,2014-09-22 19:21:43,57
2.181,0,0,2014-09-22 19:21:43,57
2.199,0,0,2014-09-22 19:21:43,57
2.216,0,0,2014-09-22 19:21:43,57
2.233,0,0,2014-09-22 19:21:43,57
2.251,0,0,2014-09-22 19:21:43,57
2.269,0,0,2014-09-22 19:21:43,57
2.287,0,0,2014-09-22 19:21:43,57
2.305,0,0,2014-09-22 19:21:43,57
2.323,0,0,2014-09-22 19:21:43,57
2.342,0,0,2014-09-22 19:21:43,57
2.36,0,0,2014-09-22 19:21:43,57
2.379,0,0,2014-09-22 19:21:43,57
2.398,0,0,2014-09-22 19:21:43,57
2.416,0,0,2014-09-22 19:21:43,57
2.436,0,0,2014-09-22 19:21:43,57
2.455,0,0,2014-09-22 19:21:43,57
2.474,0,0,2014-09-22 19:21:43,57
2.494,0,0,2014-09-22 19:21:43,57
2.514,0,0,2014-09-22 19:21:43,57
2.533,0,0,2014-09-22 19:21:43,57
2.554,0,0,2014-09-22 19:21:43,57
2.574,0,0,2014-09-22 19:21:43,57
