DMY	HMS	LAT	LON	CONDUCTIVITY	SALINITY	OCEAN.TEMP	BULK.RED	STREAM.PRESSURE	FILTER.PRESSURE	MACHINE.TEMP	Xaccel	Yaccel	Zaccel	MILLISECOND.TIMER	LASER.POWER	EVENT.RATE	FLOW.METER	POSITION	CHL	TRANS	PAR	ACQ.ERROR	EVT.RATE	time	day	file
170914	184527	NA	NA	NA	NA	NA	5.2432	-3.67	NA	NA	0	0	0	88390893	0	-1	0	NA	NA	NA	NA	99.24	NA	2014-09-17 18:45:27	2014_260	1
170914	210243	NA	NA	NA	NA	NA	5.3167	12.09	NA	NA	0	0	0	96626773	0	-1	0	NA	NA	NA	NA	1	NA	2014-09-17 21:02:43	2014_260	2
170914	210320	NA	NA	NA	NA	NA	5.2802	2.85	NA	NA	0	0	0	96664264	0	-1	0	NA	NA	NA	NA	1	NA	2014-09-17 21:03:20	2014_260	3
170914	210331	NA	NA	NA	NA	NA	5.2561	2.17	NA	NA	0	0	0	96674906	0	-1	0	NA	NA	NA	NA	1	NA	2014-09-17 21:03:31	2014_260	4
170914	210631	NA	NA	NA	NA	NA	5.2599	11.16	NA	NA	0	0	0	96855094	0	-1	0	NA	NA	NA	NA	1	NA	2014-09-17 21:06:31	2014_260	5
170914	210931	NA	NA	NA	NA	NA	5.2659	12.79	NA	NA	0	0	0	97035487	0	-1	0	NA	NA	NA	NA	1	NA	2014-09-17 21:09:31	2014_260	6
170914	211232	NA	NA	NA	NA	NA	5.2274	12.81	NA	NA	0	0	0	97215763	0	-1	0	NA	NA	NA	NA	1	NA	2014-09-17 21:12:32	2014_260	7
170914	211532	NA	NA	NA	NA	NA	109.5229	7.29	NA	NA	0	0	0	97395928	319	-1	0	NA	NA	NA	NA	1	NA	2014-09-17 21:15:32	2014_260	8
170914	211832	NA	NA	NA	NA	NA	111.681	13.74	NA	NA	0	0	0	97576164	319	-1	0	NA	NA	NA	NA	1	NA	2014-09-17 21:18:32	2014_260	9
170914	212132	NA	NA	NA	NA	NA	117.4427	13.5	NA	NA	0	0	0	97756194	319	-1	0	NA	NA	NA	NA	1	NA	2014-09-17 21:21:32	2014_260	10
170914	212433	NA	NA	NA	NA	NA	118.6358	13.38	NA	NA	0	0	0	97936562	319	-1	0	NA	NA	NA	NA	1	NA	2014-09-17 21:24:33	2014_260	11
170914	212733	NA	NA	NA	NA	NA	112.5399	13.26	NA	NA	0	0	0	98116850	319	-1	0	NA	NA	NA	NA	1	NA	2014-09-17 21:27:33	2014_260	12
170914	213020	NA	NA	NA	NA	NA	8.7454	13.28	NA	NA	0	0	0	98284396	319	-1	0	NA	NA	NA	NA	1	NA	2014-09-17 21:30:20	2014_260	13
