Sample Name,date ,time,depth,Crp copies/ ml,crp stdev,tx copies/ ml,tx stdev,crp/tx,Sal
SAT03S 9.10.13,9/10/13,9:51:00,1,2380000.00,367000.00,9439.32,237.2,252.21,8.4
SAT03M 9.10.13,9/10/13,10:00:00,8.2,1760000.00,191000.00,10035.65,335.95,175.75,7.1
SAT03B 9.10.13,9/10/13,10:06:00,13,1900000.00,616000.00,8217.38,1299.08,231.78,17.8
SAT03S 9.13.13,9/13/13,9:27:00,1,2890000.00,149000.00,5169.9,237.91,559.82,11.2
SAT03M 9.13.13,9/13/13,9:20:00,8.2,5460.00,2180.00,3646.96,222.17,1.5,21.8
SAT03B 9.13.13,9/13/13,9:15:00,13,4370000.00,622000.00,10523.99,187.41,414.79,No Data
SAT03S 9.20.13,9/20/13,14:20:00,1,1960000.00,162000.00,1206.21,21.09,1621.52,29.9
SAT03M 9.20.13,9/20/13,14:20:00,8.2,3160000.00,1300000.00,10123.5,151.36,311.68,30.2
SAT03B 9.20.13,9/20/13,14:20:00,13,3470000.00,807000.00,1483.64,128.36,2337.26,30.3
SAT03S 9.24.13,9/24/13,15:34:00,1,525000.00,184000.00,430.61,39.22,1218.06,22.8
SAT03M 9.24.13,9/24/13,15:28:00,8.2,348000.00,72400.00,378.82,108.23,917.46,23
SAT03B 9.24.13,9/24/13,15:23:00,13,2100000.00,348000.00,1049.98,103.09,1996.56,23
SAT03S 10.1.13,10/1/13,11:40:00,1,966000.00,283000.00,2204.32,211.44,438.01,8.1
SAT03M 10.1.13,10/1/13,11:45:00,8.2,1420000.00,221000.00,4290.75,346.11,330.07,22.1
SAT03B 10.1.13,10/1/13,11:50:00,13,3240000.00,348000.00,5158.53,747.34,627.41,27
