Position,Identifier,Ammonium,Phosphate,Silicic acid,Nitrite,Nitrate,time
1:10,105 13,9.4,1,81.4,0.2,13.6,9/13/13 11:11
1:11,175  9/19,13.5,0.6,46.2,0.1,5.9,9/19/13 11:11
1:12,36 surf 10/12/13,3.2,0.7,112.2,0.2,12.8,10/2/13 11:11
1:13,28s 9/26/13,2.9,0.6,132.6,0.1,10.2,9/26/13 11:11
1:14,25s 9/25/13,8.9,0.6,105.1,0.1,8.4,9/25/13 11:11
1:15,125 9/16 13:38,16.5,1.5,62.5,0.3,12.4,9/16/13 11:11
1:16,27S 9/26/13,2.5,0.7,125.5,0.2,10.3,9/26/13 11:11
1:17,185  9/19,4.4,0.6,44.1,0,4.1,9/19/13 11:11
1:18,21 9/23/12 S,3.1,0.3,18.9,0,1.4,9/23/13 11:11
1:19,155  1/2 ,6.5,1.1,25.6,0.2,8.2,9/18/13 11:11
1:20,38 surf 10/3/13,3.6,0.7,132.5,0.2,15.6,10/3/13 11:11
1:21,37 surf 10/3/13,5.2,0.5,132.8,0.2,16.1,10/3/13 11:11
1:22,16S 9/18,5.3,1.1,25.7,0.2,8.6,9/18/13 11:11
1:23,23 9/24/13 S,2.5,0.6,64.8,0.1,5,9/24/13 11:11
1:24,35 surf 10/2/13,5.6,0.6,114.1,0.2,13.1,10/2/13 11:11
1:25,115  9/16,14.4,1.2,51.8,0.2,10.3,9/16/13 11:11
1:26,29 S 9/27/13,8.1,1,111.7,0.2,9.7,9/27/13 11:11
1:27,22 9/23/13,2.3,0.5,43.2,0,3.5,9/23/13 11:11
1:28,26 9/25/13,3.6,0.7,107.1,0.1,8.7,9/25/13 11:11
1:29,blank label,10.6,0.8,20.3,0.1,5.9,9/20/13 11:11
1:30,30 S 9/27/13,3.2,1,121.3,0.1,9.6,9/27/13 11:11
1:31,9 S 13,5.1,0.9,117.2,0.2,13.2,9/13/13 11:11
1:32,32 Surf 9/30/13,3.3,0.5,88.7,0.1,8.6,9/30/13 11:11
1:33,24 9/24/13 S,2.7,0.6,57.6,0.1,4.8,9/24/13 11:11
1:34,33 Surf 10/1/13,5.2,0.4,102.7,0.2,11.6,10/1/13 11:11
1:35,5 Surf 9/11,5,0.9,146.4,0.2,12.7,9/11/13 11:11
1:36,7 Surf 12,6.5,1.1,82.9,0.2,13.3,9/12/13 11:11
1:37,7S 09,5.8,0.8,27.1,0.1,6.9,9/9/13 11:11
1:38,8 surf 12,11.2,1.1,95.2,0.2,12.7,9/12/13 11:11
1:40,blank label,4.2,0.9,27.1,0.1,7.4,9/20/13 11:11
1:41,31 surface 9/30/13,5,0.5,82.8,0.2,9.1,9/30/13 11:11
1:42,135  9/17,4.6,0.9,28.1,0.1,7.1,9/17/13 11:11
1:44,34 surf 9/30/13,5.9,0.5,100.5,0.2,10.9,10/1/13 11:11
1:45,Sat 03 S 09/10,6.3,0.6,129.4,0.2,11.6,9/10/13 11:11
1:46,14S 9/17,8.4,0.8,28.4,0.1,7.7,9/17/13 11:11
1:47,6 Surf 9/11,15.8,0.9,29.4,0.1,8.6,9/11/13 11:11
