time[YYYY-MM-DD hh:mm:ss PST], airtemp, par, atmpres, humidity, winddir, windspeed, windgust
"2013/09/19 14:20:31", 18.800, 515.341, 101050.000, 53.000, 237.567, 5.860, 6.330
"2013/09/19 14:35:29", 18.300, 505.265, 101050.000, 59.000, 245.567, 5.400, 6.070
"2013/09/19 14:50:27", 18.200, 479.354, 101030.000, 64.000, 245.567, 5.040, 5.500
"2013/09/19 15:05:25", 18.200, 450.564, 101020.000, 69.000, 244.567, 4.370, 5.250
"2013/09/19 15:20:23", 18.300, 420.334, 101010.000, 64.000, 245.567, 4.840, 5.140
"2013/09/19 15:35:21", 18.500, 388.665, 100990.000, 62.000, 239.567, 4.940, 5.500
"2013/09/19 15:50:20", 18.400, 352.678, 101000.000, 67.000, 232.567, 2.980, 3.600
"2013/09/19 16:05:18", 18.300, 316.690, 101000.000, 70.000, 220.567, 4.060, 4.680
"2013/09/19 16:20:16", 18.200, 279.263, 100980.000, 73.000, 230.567, 3.910, 4.320
"2013/09/19 16:35:14", 18.200, 240.397, 100970.000, 71.000, 231.567, 3.650, 4.120
"2013/09/19 16:50:12", 18.200, 200.091, 100960.000, 73.000, 231.567, 2.730, 3.600
"2013/09/19 17:05:10", 18.100, 161.224, 100950.000, 74.000, 230.567, 3.190, 3.650
"2013/09/19 17:20:08", 17.800, 119.479, 100930.000, 76.000, 223.567, 4.060, 4.730
"2013/09/19 17:35:06", 17.700, 82.052, 100930.000, 77.000, 200.567, 2.260, 2.520
"2013/09/19 17:50:04", 17.800, 46.064, 100930.000, 76.000, 216.567, 1.700, 2.210
"2013/09/19 18:05:02", 17.400, 11.516, 100920.000, 78.000, 235.567, 1.390, 2.010
"2013/09/19 18:20:00", 17.100, 1.440, 100910.000, 79.000, 187.567, 1.340, 1.850
"2013/09/19 18:34:58", 16.900, 1.440, 100910.000, 80.000, 204.567, 1.650, 1.900
"2013/09/19 18:49:56", 17.000, 1.440, 100900.000, 77.000, 193.567, 2.060, 2.730
"2013/09/19 19:04:54", 16.900, 1.440, 100900.000, 76.000, 203.567, 2.320, 3.810
"2013/09/19 19:19:52", 17.100, 1.440, 100900.000, 74.000, 210.567, 2.680, 3.760
"2013/09/19 19:34:50", 16.900, 1.440, 100910.000, 76.000, 207.567, 3.910, 4.420
"2013/09/19 19:49:48", 16.800, 1.440, 100900.000, 75.000, 187.567, 3.090, 3.600
"2013/09/19 20:04:46", 16.800, 1.440, 100910.000, 74.000, 190.567, 2.830, 3.550
"2013/09/19 20:19:44", 16.700, 1.440, 100900.000, 74.000, 202.567, 2.830, 3.240
"2013/09/19 20:34:42", 16.700, 1.440, 100900.000, 74.000, 186.567, 3.190, 3.550
"2013/09/19 20:49:40", 16.700, 1.440, 100900.000, 76.000, 170.567, 2.060, 2.320
"2013/09/19 21:04:38", 16.700, 1.440, 100900.000, 76.000, 179.567, 2.060, 2.520
"2013/09/19 21:13:08", 16.600, 1.440, 100900.000, 77.000, 155.567, 2.520, 2.980
"2013/09/19 21:28:06", 16.600, 1.440, 100900.000, 75.000, 158.567, 2.780, 3.240
"2013/09/19 21:43:04", 16.700, 1.440, 100880.000, 72.000, 160.567, 3.040, 3.760
"2013/09/19 21:58:02", 16.500, 1.440, 100870.000, 79.000, 144.567, 3.600, 3.760
"2013/09/19 22:13:00", 16.000, 1.440, 100870.000, 83.000, 161.567, 3.290, 3.600
"2013/09/19 22:21:30", 16.000, 1.440, 100860.000, 86.000, 163.567, 3.240, 3.500
"2013/09/19 22:36:28", 15.500, 1.440, 100850.000, 87.000, 171.567, 2.570, 2.880
"2013/09/19 22:44:58", 15.300, 1.440, 100850.000, 86.000, 172.567, 2.110, 2.420
"2013/09/19 22:59:56", 15.100, 1.440, 100830.000, 87.000, 157.567, 2.730, 3.190
"2013/09/19 23:14:54", 15.200, 1.440, 100810.000, 88.000, 158.567, 2.730, 3.190
"2013/09/19 23:23:24", 15.300, 1.440, 100780.000, 89.000, 158.567, 2.520, 2.980
"2013/09/19 23:38:22", 15.700, 1.440, 100780.000, 88.000, 154.567, 3.340, 3.810
"2013/09/19 23:53:20", 15.900, 1.440, 100770.000, 88.000, 140.567, 3.960, 4.420
"2013/09/20 00:08:18", 16.000, 1.440, 100770.000, 81.000, 113.567, 4.580, 5.300
"2013/09/20 00:23:16", 15.800, 1.440, 100760.000, 84.000, 109.567, 4.730, 5.450
"2013/09/20 00:38:14", 15.500, 1.440, 100750.000, 86.000, 112.567, 5.140, 5.450
"2013/09/20 00:53:12", 15.600, 1.440, 100750.000, 87.000, 119.567, 4.270, 4.990
"2013/09/20 01:08:10", 15.300, 1.440, 100750.000, 88.000, 123.567, 4.480, 4.840
"2013/09/20 01:23:08", 13.900, 1.440, 100730.000, 90.000, 172.567, 3.090, 3.650
