time[YYYY-MM-DD hh:mm:ss PST], airtemp, par, atmpres, humidity, winddir, windspeed, windgust
"2013/09/01 00:24:56", 15.000, 0.000, 101360.000, 99.000, 192.567, 6.330, 7.150
"2013/09/01 00:54:16", 14.600, 0.000, 101350.000, 98.000, 198.567, 6.640, 7.360
"2013/09/01 01:24:14", 14.500, 0.000, 101360.000, 99.000, 196.567, 6.070, 6.640
"2013/09/01 01:53:34", 14.400, 0.000, 101370.000, 98.000, 193.567, 5.710, 6.430
"2013/09/01 02:23:32", 14.900, 0.000, 101370.000, 96.000, 193.567, 5.660, 6.280
"2013/09/01 02:52:52", 15.000, 0.000, 101360.000, 93.000, 189.567, 5.560, 6.330
"2013/09/01 03:22:50", 14.900, 0.000, 101370.000, 92.000, 190.567, 5.040, 5.970
"2013/09/01 03:52:10", 14.900, 0.000, 101370.000, 92.000, 194.567, 5.500, 6.120
"2013/09/01 04:22:08", 14.900, 0.000, 101380.000, 92.000, 184.567, 4.730, 5.090
"2013/09/01 04:51:28", 14.900, 0.000, 101370.000, 90.000, 186.567, 4.890, 5.660
"2013/09/01 05:21:26", 14.900, 0.000, 101370.000, 88.000, 183.567, 5.400, 5.760
"2013/09/01 05:50:46", 14.600, 10.644, 101340.000, 92.000, 168.567, 5.040, 5.710
"2013/09/01 06:20:44", 14.700, 80.593, 101340.000, 91.000, 169.567, 4.580, 4.940
"2013/09/01 06:50:04", 14.700, 180.954, 101350.000, 90.000, 173.567, 4.580, 4.990
"2013/09/01 07:20:02", 14.800, 279.795, 101360.000, 88.000, 179.567, 4.320, 4.840
"2013/09/01 07:49:22", 14.900, 506.368, 101360.000, 88.000, 189.567, 3.700, 4.420
"2013/09/01 08:19:20", 14.900, 517.013, 101330.000, 88.000, 189.567, 4.060, 4.370
"2013/09/01 08:48:40", 14.700, 366.471, 101340.000, 88.000, 182.567, 4.010, 4.420
"2013/09/01 09:18:39", 14.800, 628.018, 101340.000, 88.000, 182.567, 3.810, 4.220
"2013/09/01 09:47:59", 14.700, 701.008, 101340.000, 90.000, 187.567, 3.600, 4.010
"2013/09/01 10:17:57", 14.900, 754.230, 101330.000, 89.000, 189.567, 2.680, 3.040
"2013/09/01 10:47:17", 14.900, 798.328, 101310.000, 89.000, 207.567, 3.190, 3.550
"2013/09/01 11:17:15", 15.000, 839.385, 101320.000, 90.000, 223.567, 3.340, 3.650
