time[YYYY-MM-DD hh:mm:ss PST], cdom
"2013/09/04 11:26:51", 6.620
"2013/09/04 11:26:53", 6.034
"2013/09/04 11:26:55", 6.369
"2013/09/04 11:26:57", 5.950
"2013/09/04 11:26:59", 5.950
"2013/09/04 11:27:01", 5.866
"2013/09/04 11:29:33", 4.106
"2013/09/04 11:29:35", 4.777
"2013/09/04 11:29:37", 4.860
"2013/09/04 11:29:39", 3.771
"2013/09/04 11:29:41", 4.190
"2013/09/04 11:29:43", 3.771
"2013/09/04 11:29:45", 4.190
"2013/09/04 11:29:47", 4.274
"2013/09/04 11:29:49", 4.525
"2013/09/04 11:29:51", 4.609
"2013/09/04 11:29:53", 3.939
"2013/09/04 11:29:55", 4.106
"2013/09/04 11:29:57", 3.939
"2013/09/04 11:29:59", 4.274
"2013/09/04 11:30:01", 4.190
"2013/09/04 11:32:33", 3.855
"2013/09/04 11:32:35", 3.436
"2013/09/04 11:32:37", 4.358
"2013/09/04 11:32:39", 3.687
"2013/09/04 11:32:41", 4.525
"2013/09/04 11:32:43", 3.603
"2013/09/04 11:32:45", 3.939
"2013/09/04 11:32:47", 4.106
"2013/09/04 11:32:49", 4.525
"2013/09/04 11:32:51", 4.609
"2013/09/04 11:32:53", 3.603
"2013/09/04 11:32:55", 3.939
"2013/09/04 11:32:57", 3.603
"2013/09/04 11:32:59", 3.771
"2013/09/04 11:33:01", 4.190
"2013/09/04 11:33:03", 4.693
"2013/09/04 11:35:31", 3.603
"2013/09/04 11:35:33", 3.520
"2013/09/04 11:35:35", 3.855
"2013/09/04 11:35:37", 4.022
"2013/09/04 11:35:39", 3.855
"2013/09/04 11:35:41", 3.603
"2013/09/04 11:35:43", 3.687
"2013/09/04 11:35:45", 4.022
"2013/09/04 11:35:47", 3.771
"2013/09/04 11:35:49", 3.771
"2013/09/04 11:35:51", 4.525
"2013/09/04 11:35:53", 4.274
"2013/09/04 11:35:55", 3.520
"2013/09/04 11:35:57", 3.352
"2013/09/04 11:35:59", 4.022
"2013/09/04 11:36:01", 3.520
"2013/09/04 11:36:03", 3.687
"2013/09/04 11:38:33", 3.855
"2013/09/04 11:38:35", 3.520
"2013/09/04 11:38:37", 3.436
"2013/09/04 11:38:39", 3.520
"2013/09/04 11:38:41", 4.190
"2013/09/04 11:38:43", 3.436
"2013/09/04 11:38:45", 3.184
"2013/09/04 11:38:47", 3.436
"2013/09/04 11:38:49", 3.771
"2013/09/04 11:38:51", 3.520
"2013/09/04 11:38:53", 3.687
"2013/09/04 11:38:55", 3.520
"2013/09/04 11:38:57", 4.190
"2013/09/04 11:38:59", 4.274
"2013/09/04 11:39:01", 3.352
"2013/09/04 11:39:03", 3.603
"2013/09/04 11:39:05", 3.520
"2013/09/04 11:39:07", 3.520
"2013/09/04 11:39:09", 3.184
"2013/09/04 11:39:11", 3.436
"2013/09/04 11:39:13", 3.352
"2013/09/04 11:39:15", 4.274
"2013/09/04 11:39:17", 4.022
"2013/09/04 11:39:19", 3.184
"2013/09/04 11:39:21", 3.436
"2013/09/04 11:39:23", 3.017
"2013/09/04 11:39:25", 3.436
"2013/09/04 11:39:27", 3.436
"2013/09/04 11:39:29", 3.603
"2013/09/04 11:39:31", 3.939
"2013/09/04 11:39:33", 4.441
"2013/09/04 11:39:35", 3.687
"2013/09/04 11:39:37", 3.268
"2013/09/04 11:39:39", 3.268
"2013/09/04 11:39:41", 3.436
"2013/09/04 11:39:43", 3.603
"2013/09/04 11:39:45", 3.603
"2013/09/04 11:39:47", 3.855
"2013/09/04 11:39:49", 4.358
"2013/09/04 11:39:51", 4.274
"2013/09/04 11:39:53", 3.352
"2013/09/04 11:39:55", 3.436
"2013/09/04 11:39:57", 3.268
"2013/09/04 11:39:59", 3.687
"2013/09/04 11:40:01", 3.603
"2013/09/04 11:40:03", 3.017
"2013/09/04 11:41:33", 3.352
"2013/09/04 11:41:35", 4.274
"2013/09/04 11:41:37", 4.106
"2013/09/04 11:41:39", 3.017
"2013/09/04 11:41:41", 3.017
"2013/09/04 11:41:43", 3.184
"2013/09/04 11:41:45", 3.520
"2013/09/04 11:41:47", 3.352
"2013/09/04 11:41:49", 3.352
"2013/09/04 11:41:51", 3.687
"2013/09/04 11:41:53", 4.190
"2013/09/04 11:41:55", 4.190
"2013/09/04 11:41:57", 3.101
"2013/09/04 11:41:59", 3.184
"2013/09/04 11:42:01", 3.436
"2013/09/04 11:42:03", 3.520
"2013/09/04 11:47:33", 3.352
"2013/09/04 11:47:35", 3.101
"2013/09/04 11:47:37", 3.352
"2013/09/04 11:47:39", 3.603
"2013/09/04 11:47:41", 3.352
"2013/09/04 11:47:43", 3.352
"2013/09/04 11:47:45", 3.352
"2013/09/04 11:47:47", 4.106
"2013/09/04 11:47:49", 3.687
"2013/09/04 11:47:51", 3.101
"2013/09/04 11:47:53", 3.017
"2013/09/04 11:47:55", 3.520
"2013/09/04 11:47:57", 3.184
"2013/09/04 11:47:59", 3.436
"2013/09/04 11:48:01", 3.184
"2013/09/04 11:50:33", 3.184
"2013/09/04 11:50:35", 3.101
"2013/09/04 11:50:37", 3.436
"2013/09/04 11:50:39", 3.352
"2013/09/04 11:50:41", 4.106
"2013/09/04 11:50:43", 4.022
"2013/09/04 11:50:45", 3.603
"2013/09/04 11:50:47", 3.352
"2013/09/04 11:50:49", 2.933
"2013/09/04 11:50:51", 3.436
"2013/09/04 11:50:53", 3.017
"2013/09/04 11:50:55", 3.436
"2013/09/04 11:50:57", 3.184
"2013/09/04 11:50:59", 3.184
"2013/09/04 11:51:01", 3.436
"2013/09/04 11:53:33", 3.603
"2013/09/04 11:53:35", 2.849
"2013/09/04 11:53:37", 2.765
"2013/09/04 11:53:39", 3.771
"2013/09/04 11:53:41", 3.352
"2013/09/04 11:53:43", 3.017
"2013/09/04 11:53:45", 3.268
"2013/09/04 11:53:47", 3.268
"2013/09/04 11:53:49", 3.939
"2013/09/04 11:53:51", 3.771
"2013/09/04 11:53:53", 3.184
"2013/09/04 11:53:55", 2.765
"2013/09/04 11:53:57", 3.352
"2013/09/04 11:53:59", 3.268
"2013/09/04 11:54:01", 3.352
"2013/09/04 11:56:33", 3.352
"2013/09/04 11:56:35", 3.184
"2013/09/04 11:56:37", 3.268
"2013/09/04 11:56:39", 3.101
"2013/09/04 11:56:41", 3.939
"2013/09/04 11:56:43", 3.771
"2013/09/04 11:56:45", 2.849
"2013/09/04 11:56:47", 3.520
"2013/09/04 11:56:49", 2.849
"2013/09/04 11:56:51", 3.436
"2013/09/04 11:56:53", 3.101
"2013/09/04 11:56:55", 3.184
"2013/09/04 11:56:57", 3.436
"2013/09/04 11:56:59", 3.939
"2013/09/04 11:57:01", 3.687
"2013/09/04 11:59:33", 2.849
"2013/09/04 11:59:35", 3.101
"2013/09/04 11:59:37", 3.101
"2013/09/04 11:59:39", 3.855
"2013/09/04 11:59:41", 3.855
"2013/09/04 11:59:43", 3.184
"2013/09/04 11:59:45", 2.514
"2013/09/04 11:59:47", 3.101
"2013/09/04 11:59:49", 3.352
"2013/09/04 11:59:51", 2.933
"2013/09/04 11:59:53", 3.268
"2013/09/04 11:59:55", 3.268
"2013/09/04 11:59:57", 3.939
"2013/09/04 11:59:59", 3.687
"2013/09/04 12:00:01", 2.849
"2013/09/04 12:02:33", 2.682
"2013/09/04 12:02:35", 2.933
"2013/09/04 12:02:37", 2.514
"2013/09/04 12:02:39", 3.603
"2013/09/04 12:02:41", 2.933
"2013/09/04 12:02:43", 2.765
"2013/09/04 12:02:45", 3.017
"2013/09/04 12:02:47", 2.933
"2013/09/04 12:02:49", 2.430
"2013/09/04 12:02:51", 3.184
"2013/09/04 12:02:53", 2.346
"2013/09/04 12:02:55", 2.933
"2013/09/04 12:02:57", 2.430
"2013/09/04 12:02:59", 3.603
"2013/09/04 12:03:01", 2.430
"2013/09/04 12:05:31", 3.855
"2013/09/04 12:05:33", 3.855
"2013/09/04 12:05:35", 3.771
"2013/09/04 12:05:37", 3.017
"2013/09/04 12:05:39", 3.101
"2013/09/04 12:05:41", 2.682
"2013/09/04 12:05:43", 2.849
"2013/09/04 12:05:45", 3.184
"2013/09/04 12:05:47", 2.933
"2013/09/04 12:05:49", 3.184
"2013/09/04 12:05:51", 3.017
"2013/09/04 12:05:53", 3.184
"2013/09/04 12:05:55", 2.933
"2013/09/04 12:05:57", 2.682
"2013/09/04 12:05:59", 2.849
"2013/09/04 12:06:01", 3.017
"2013/09/04 12:08:31", 2.765
"2013/09/04 12:08:33", 2.765
"2013/09/04 12:08:35", 2.933
"2013/09/04 12:08:37", 2.430
"2013/09/04 12:08:39", 3.017
"2013/09/04 12:08:41", 3.017
"2013/09/04 12:08:43", 2.765
"2013/09/04 12:08:45", 2.849
"2013/09/04 12:08:47", 3.017
"2013/09/04 12:08:49", 3.352
"2013/09/04 12:08:51", 3.687
"2013/09/04 12:08:53", 2.849
"2013/09/04 12:08:55", 2.598
"2013/09/04 12:08:57", 2.598
"2013/09/04 12:08:59", 2.849
"2013/09/04 12:09:01", 2.765
"2013/09/04 12:11:33", 3.436
"2013/09/04 12:11:35", 2.682
"2013/09/04 12:11:37", 2.933
"2013/09/04 12:11:39", 3.436
"2013/09/04 12:11:41", 3.771
"2013/09/04 12:11:43", 2.933
"2013/09/04 12:11:45", 2.933
"2013/09/04 12:11:47", 2.933
"2013/09/04 12:11:49", 2.933
"2013/09/04 12:11:51", 2.933
"2013/09/04 12:11:53", 2.263
"2013/09/04 12:11:55", 3.603
"2013/09/04 12:11:57", 2.933
"2013/09/04 12:11:59", 2.598
"2013/09/04 12:12:01", 2.765
"2013/09/04 12:17:33", 2.263
"2013/09/04 12:17:35", 2.514
"2013/09/04 12:17:37", 2.598
"2013/09/04 12:17:39", 2.849
"2013/09/04 12:17:41", 2.179
"2013/09/04 12:17:43", 2.765
"2013/09/04 12:17:45", 2.514
"2013/09/04 12:17:47", 2.179
"2013/09/04 12:17:49", 3.017
"2013/09/04 12:17:51", 2.263
"2013/09/04 12:17:53", 2.849
"2013/09/04 12:17:55", 2.849
"2013/09/04 12:17:57", 2.598
"2013/09/04 12:17:59", 2.849
"2013/09/04 12:18:01", 2.682
"2013/09/04 12:23:33", 2.514
"2013/09/04 12:23:35", 2.598
"2013/09/04 12:23:37", 2.849
"2013/09/04 12:23:39", 3.184
"2013/09/04 12:23:41", 2.263
"2013/09/04 12:23:43", 2.933
"2013/09/04 12:23:45", 3.017
"2013/09/04 12:23:47", 2.430
"2013/09/04 12:23:49", 2.849
"2013/09/04 12:23:51", 2.598
