time[YYYY-MM-DD hh:mm:ss PST], water_salinity, water_electrical_conductivity, water_temperature
"2013/10/01 00:23:47", 6.335, 0.919, 16.004
"2013/10/01 00:23:52", 6.142, 0.893, 16.005
"2013/10/01 00:26:47", 6.143, 0.892, 15.951
"2013/10/01 00:26:52", 5.937, 0.864, 15.951
"2013/10/01 00:29:46", 5.919, 0.861, 15.905
"2013/10/01 00:29:51", 5.889, 0.857, 15.904
"2013/10/01 00:32:47", 6.043, 0.878, 15.936
"2013/10/01 00:32:52", 6.097, 0.886, 15.942
"2013/10/01 00:32:57", 6.074, 0.883, 15.949
"2013/10/01 00:35:47", 6.072, 0.884, 16.038
"2013/10/01 00:35:52", 6.013, 0.876, 16.046
"2013/10/01 00:35:57", 5.837, 0.852, 16.050
"2013/10/01 00:38:47", 5.864, 0.856, 16.061
"2013/10/01 00:38:52", 5.889, 0.860, 16.067
"2013/10/01 00:38:57", 5.894, 0.861, 16.069
"2013/10/01 00:39:02", 5.862, 0.856, 16.069
"2013/10/01 00:39:07", 5.831, 0.852, 16.068
"2013/10/01 00:39:12", 5.829, 0.852, 16.067
"2013/10/01 00:39:17", 5.699, 0.834, 16.065
"2013/10/01 00:39:22", 5.718, 0.837, 16.070
"2013/10/01 00:39:32", 5.806, 0.849, 16.073
"2013/10/01 00:39:37", 5.800, 0.848, 16.075
"2013/10/01 00:39:41", 5.799, 0.848, 16.078
"2013/10/01 00:39:47", 5.793, 0.847, 16.078
"2013/10/01 00:39:51", 5.761, 0.843, 16.077
"2013/10/01 00:39:56", 5.785, 0.846, 16.075
"2013/10/01 00:41:52", 6.062, 0.882, 16.024
"2013/10/01 00:41:57", 6.040, 0.880, 16.025
"2013/10/01 00:44:47", 5.997, 0.874, 16.020
"2013/10/01 00:44:52", 6.002, 0.874, 16.016
"2013/10/01 00:44:57", 5.897, 0.860, 16.018
"2013/10/01 00:47:52", 5.908, 0.862, 16.043
"2013/10/01 00:47:57", 5.880, 0.858, 16.046
"2013/10/01 00:50:51", 5.894, 0.860, 16.021
