time[YYYY-MM-DD hh:mm:ss PST], nitrate
"2013/09/13 11:38:54", 14.120
"2013/09/13 11:38:55", 14.800
"2013/09/13 11:38:57", 15.910
"2013/09/13 11:38:58", 15.360
"2013/09/13 11:38:59", 13.970
"2013/09/13 11:39:00", 14.560
"2013/09/13 11:39:01", 15.250
"2013/09/13 11:39:03", 15.410
"2013/09/13 11:39:04", 15.340
"2013/09/13 11:39:05", 14.350
"2013/09/13 11:39:07", 15.280
"2013/09/13 11:39:09", 14.650
"2013/09/13 11:39:10", 15.180
"2013/09/13 11:39:11", 14.470
"2013/09/13 11:39:12", 13.840
"2013/09/13 11:39:13", 15.920
"2013/09/13 11:39:15", 15.870
"2013/09/13 12:38:54", 15.000
"2013/09/13 12:38:55", 15.490
"2013/09/13 12:38:57", 14.150
"2013/09/13 12:38:58", 14.650
"2013/09/13 12:38:59", 15.070
"2013/09/13 12:39:00", 14.930
"2013/09/13 12:39:01", 14.720
"2013/09/13 12:39:03", 15.630
"2013/09/13 12:39:04", 16.320
"2013/09/13 12:39:05", 15.460
"2013/09/13 12:39:07", 15.770
"2013/09/13 12:39:09", 15.000
"2013/09/13 12:39:10", 15.680
"2013/09/13 12:39:11", 14.930
"2013/09/13 12:39:12", 14.750
"2013/09/13 12:39:13", 16.550
"2013/09/13 12:39:15", 15.020
"2013/09/13 13:38:54", 16.660
"2013/09/13 13:38:55", 16.090
"2013/09/13 13:38:56", 16.300
"2013/09/13 13:38:58", 16.030
"2013/09/13 13:38:59", 16.730
"2013/09/13 13:39:00", 16.000
"2013/09/13 13:39:01", 16.050
"2013/09/13 13:39:03", 15.340
"2013/09/13 13:39:04", 16.460
"2013/09/13 13:39:05", 16.920
"2013/09/13 13:39:07", 14.340
"2013/09/13 13:39:09", 16.030
"2013/09/13 13:39:10", 16.380
"2013/09/13 13:39:11", 16.550
"2013/09/13 13:39:12", 15.810
"2013/09/13 13:39:13", 15.490
"2013/09/13 13:39:15", 16.320
"2013/09/13 14:38:54", 14.840
"2013/09/13 14:38:55", 15.420
"2013/09/13 14:38:58", 17.310
"2013/09/13 14:38:58", 16.620
"2013/09/13 14:39:00", 15.700
"2013/09/13 14:39:00", 16.380
"2013/09/13 14:39:02", 16.740
"2013/09/13 14:39:04", 16.580
"2013/09/13 14:39:04", 15.780
"2013/09/13 14:39:06", 16.430
"2013/09/13 14:39:08", 15.540
"2013/09/13 14:39:08", 17.850
"2013/09/13 14:39:11", 16.390
"2013/09/13 14:39:12", 16.240
"2013/09/13 14:39:13", 17.700
"2013/09/13 14:39:14", 17.830
"2013/09/13 14:39:16", 17.820
"2013/09/13 15:38:54", 16.340
"2013/09/13 15:38:55", 14.320
"2013/09/13 15:38:57", 15.120
"2013/09/13 15:38:58", 15.950
"2013/09/13 15:38:59", 15.530
"2013/09/13 15:39:00", 14.590
"2013/09/13 15:39:01", 15.740
"2013/09/13 15:39:03", 15.990
"2013/09/13 15:39:04", 15.010
"2013/09/13 15:39:05", 15.740
"2013/09/13 15:39:07", 13.870
"2013/09/13 15:39:09", 15.110
"2013/09/13 15:39:10", 15.400
"2013/09/13 15:39:11", 16.090
"2013/09/13 15:39:12", 15.710
"2013/09/13 15:39:13", 16.080
"2013/09/13 15:39:15", 16.230
"2013/09/13 16:38:54", 15.480
"2013/09/13 16:38:55", 15.010
"2013/09/13 16:38:57", 15.360
"2013/09/13 16:38:58", 16.440
"2013/09/13 16:38:59", 16.610
"2013/09/13 16:39:00", 16.550
"2013/09/13 16:39:01", 15.900
"2013/09/13 16:39:03", 16.390
"2013/09/13 16:39:04", 16.900
"2013/09/13 16:39:05", 15.350
"2013/09/13 16:39:07", 17.160
"2013/09/13 16:39:09", 16.330
"2013/09/13 16:39:10", 16.720
"2013/09/13 16:39:11", 15.070
"2013/09/13 16:39:12", 17.330
"2013/09/13 16:39:13", 16.680
"2013/09/13 16:39:15", 16.720
"2013/09/13 17:38:54", 15.820
"2013/09/13 17:38:55", 15.480
"2013/09/13 17:38:56", 15.260
"2013/09/13 17:38:58", 15.760
"2013/09/13 17:38:59", 16.770
"2013/09/13 17:39:00", 14.990
"2013/09/13 17:39:01", 16.050
"2013/09/13 17:39:03", 15.880
"2013/09/13 17:39:04", 16.340
"2013/09/13 17:39:05", 15.520
"2013/09/13 17:39:07", 16.250
"2013/09/13 17:39:09", 15.440
"2013/09/13 17:39:10", 16.890
"2013/09/13 17:39:11", 14.620
"2013/09/13 17:39:12", 16.150
"2013/09/13 17:39:13", 17.390
