time[YYYY-MM-DD hh:mm:ss PST], oxygensat, oxygen
"2013/09/04 11:26:00", 78.535, 4.649
"2013/09/04 11:27:00", 77.802, 4.600
"2013/09/04 11:29:00", 74.380, 4.446
"2013/09/04 11:30:00", 74.322, 4.444
"2013/09/04 11:32:00", 74.597, 4.466
"2013/09/04 11:33:00", 74.651, 4.470
"2013/09/04 11:35:00", 75.029, 4.491
"2013/09/04 11:36:00", 75.158, 4.497
"2013/09/04 11:38:00", 75.330, 4.507
"2013/09/04 11:39:00", 75.549, 4.519
"2013/09/04 11:40:00", 75.641, 4.522
"2013/09/04 11:41:00", 75.476, 4.514
"2013/09/04 11:42:00", 75.552, 4.519
"2013/09/04 11:47:00", 76.068, 4.542
"2013/09/04 11:48:00", 76.258, 4.552
"2013/09/04 11:50:00", 75.834, 4.530
"2013/09/04 11:51:00", 75.992, 4.538
"2013/09/04 11:53:00", 76.049, 4.540
"2013/09/04 11:54:00", 76.212, 4.547
"2013/09/04 11:56:00", 76.345, 4.554
"2013/09/04 11:57:00", 76.519, 4.565
"2013/09/04 11:59:00", 76.382, 4.557
"2013/09/04 12:00:00", 76.429, 4.560
"2013/09/04 12:02:00", 77.038, 4.600
"2013/09/04 12:03:00", 77.133, 4.603
"2013/09/04 12:05:00", 76.972, 4.594
"2013/09/04 12:06:00", 77.134, 4.605
"2013/09/04 12:08:00", 77.066, 4.597
"2013/09/04 12:09:00", 77.176, 4.600
"2013/09/04 12:11:00", 77.015, 4.593
"2013/09/04 12:12:00", 77.133, 4.597
"2013/09/04 12:17:00", 76.876, 4.582
"2013/09/04 12:18:00", 76.951, 4.589
"2013/09/04 12:23:00", 76.943, 4.584
"2013/09/04 12:24:00", 77.127, 4.596
"2013/09/04 12:26:00", 77.439, 4.613
"2013/09/04 12:27:00", 77.569, 4.620
"2013/09/04 12:29:00", 77.168, 4.599
"2013/09/04 12:30:00", 77.259, 4.605
"2013/09/04 12:32:00", 77.266, 4.606
"2013/09/04 12:33:00", 77.436, 4.615
"2013/09/04 12:35:00", 77.483, 4.620
"2013/09/04 12:36:00", 77.392, 4.612
"2013/09/04 12:38:00", 77.699, 4.628
"2013/09/04 12:39:00", 77.783, 4.636
"2013/09/04 12:40:00", 77.945, 4.646
"2013/09/04 12:41:00", 77.766, 4.629
"2013/09/04 12:42:00", 77.880, 4.638
"2013/09/04 12:44:00", 77.372, 4.610
"2013/09/04 12:45:00", 77.306, 4.606
"2013/09/04 12:47:00", 77.387, 4.610
"2013/09/04 12:48:00", 77.485, 4.613
"2013/09/04 12:50:00", 77.372, 4.610
