time[YYYY-MM-DD hh:mm:ss PST], water_temperature
"2013/09/04 11:04:07", 22.670
"2013/09/04 11:04:17", 22.652
"2013/09/04 11:04:27", 22.691
"2013/09/04 11:04:37", 22.729
"2013/09/04 11:04:47", 22.751
"2013/09/04 11:04:57", 22.756
"2013/09/04 11:05:07", 22.765
"2013/09/04 11:05:17", 22.775
"2013/09/04 11:05:27", 22.770
"2013/09/04 11:05:37", 22.760
"2013/09/04 11:05:47", 22.759
"2013/09/04 11:05:57", 22.759
"2013/09/04 11:06:07", 22.740
"2013/09/04 11:06:17", 22.730
"2013/09/04 11:06:27", 22.720
"2013/09/04 11:06:37", 22.683
"2013/09/04 11:06:47", 22.565
"2013/09/04 11:06:57", 22.510
"2013/09/04 11:07:07", 22.533
"2013/09/04 11:07:17", 22.567
"2013/09/04 11:07:27", 22.585
"2013/09/04 11:07:37", 22.578
"2013/09/04 11:07:47", 22.582
"2013/09/04 11:07:57", 22.575
"2013/09/04 11:08:07", 22.563
"2013/09/04 11:08:17", 22.550
"2013/09/04 11:08:27", 22.546
"2013/09/04 11:08:37", 22.540
"2013/09/04 11:08:47", 22.525
"2013/09/04 11:13:47", 22.012
"2013/09/04 11:13:57", 21.993
"2013/09/04 11:14:07", 21.971
"2013/09/04 11:14:17", 21.962
"2013/09/04 11:14:27", 21.958
"2013/09/04 11:14:37", 21.942
"2013/09/04 11:14:47", 21.931
"2013/09/04 11:14:57", 21.932
"2013/09/04 11:15:07", 21.923
"2013/09/04 11:15:17", 21.894
"2013/09/04 11:15:27", 21.886
"2013/09/04 11:15:37", 21.892
"2013/09/04 11:15:47", 21.889
"2013/09/04 11:15:57", 21.885
"2013/09/04 11:16:07", 21.884
"2013/09/04 11:16:17", 21.868
"2013/09/04 11:16:27", 21.841
"2013/09/04 11:16:37", 21.827
"2013/09/04 11:16:47", 21.810
"2013/09/04 11:16:57", 21.790
"2013/09/04 11:17:07", 21.777
"2013/09/04 11:17:17", 21.752
"2013/09/04 11:17:27", 21.749
"2013/09/04 11:17:37", 21.753
"2013/09/04 11:17:47", 21.743
"2013/09/04 11:17:57", 21.737
"2013/09/04 11:18:07", 21.728
"2013/09/04 11:18:17", 21.711
"2013/09/04 11:18:27", 21.674
"2013/09/04 11:18:37", 21.667
"2013/09/04 11:18:47", 21.606
"2013/09/04 11:18:57", 21.491
"2013/09/04 11:19:07", 21.592
"2013/09/04 11:19:17", 21.657
"2013/09/04 11:19:27", 21.621
"2013/09/04 11:19:37", 21.612
"2013/09/04 11:19:47", 21.597
"2013/09/04 11:19:57", 21.484
"2013/09/04 11:20:07", 21.420
"2013/09/04 11:20:17", 21.324
"2013/09/04 11:20:27", 21.273
"2013/09/04 11:20:37", 21.241
"2013/09/04 11:20:47", 21.207
"2013/09/04 11:20:57", 21.174
"2013/09/04 11:21:07", 21.198
"2013/09/04 11:21:17", 21.156
"2013/09/04 11:21:27", 21.129
"2013/09/04 11:21:37", 21.084
"2013/09/04 11:21:47", 21.030
"2013/09/04 11:21:57", 21.055
"2013/09/04 11:22:07", 21.039
"2013/09/04 11:22:17", 21.034
"2013/09/04 11:22:27", 21.023
