time[YYYY-MM-DD hh:mm:ss PST], turbidity
"2013/09/04 11:26:51", 24.390
"2013/09/04 11:26:53", 22.310
"2013/09/04 11:26:55", 21.990
"2013/09/04 11:26:57", 19.540
"2013/09/04 11:26:59", 17.730
"2013/09/04 11:27:01", 18.550
"2013/09/04 11:29:33", 13.710
"2013/09/04 11:29:35", 12.790
"2013/09/04 11:29:37", 13.120
"2013/09/04 11:29:39", 13.400
"2013/09/04 11:29:41", 12.010
"2013/09/04 11:29:43", 11.750
"2013/09/04 11:29:45", 11.390
"2013/09/04 11:29:47", 11.290
"2013/09/04 11:29:49", 11.090
"2013/09/04 11:29:51", 11.250
"2013/09/04 11:29:53", 11.110
"2013/09/04 11:29:55", 10.590
"2013/09/04 11:29:57", 10.500
"2013/09/04 11:29:59", 10.490
"2013/09/04 11:30:01", 10.350
"2013/09/04 11:32:33", 9.730
"2013/09/04 11:32:35", 9.250
"2013/09/04 11:32:37", 10.650
"2013/09/04 11:32:39", 9.760
"2013/09/04 11:32:41", 9.160
"2013/09/04 11:32:43", 8.820
"2013/09/04 11:32:45", 9.370
"2013/09/04 11:32:47", 9.240
"2013/09/04 11:32:49", 8.780
"2013/09/04 11:32:51", 8.820
"2013/09/04 11:32:53", 9.720
"2013/09/04 11:32:55", 9.800
"2013/09/04 11:32:57", 9.890
"2013/09/04 11:32:59", 9.570
"2013/09/04 11:33:01", 8.910
"2013/09/04 11:33:03", 8.750
"2013/09/04 11:35:31", 7.600
"2013/09/04 11:35:33", 7.870
"2013/09/04 11:35:35", 7.840
"2013/09/04 11:35:37", 7.990
"2013/09/04 11:35:39", 7.950
"2013/09/04 11:35:41", 7.570
"2013/09/04 11:35:43", 7.930
"2013/09/04 11:35:45", 8.160
"2013/09/04 11:35:47", 8.010
"2013/09/04 11:35:49", 7.540
"2013/09/04 11:35:51", 7.320
"2013/09/04 11:35:53", 7.430
"2013/09/04 11:35:55", 7.490
"2013/09/04 11:35:57", 7.760
"2013/09/04 11:35:59", 7.710
"2013/09/04 11:36:01", 7.770
"2013/09/04 11:36:03", 7.590
"2013/09/04 11:38:33", 6.930
"2013/09/04 11:38:35", 7.070
"2013/09/04 11:38:37", 6.800
"2013/09/04 11:38:39", 6.890
"2013/09/04 11:38:41", 7.020
"2013/09/04 11:38:43", 6.710
"2013/09/04 11:38:45", 6.790
"2013/09/04 11:38:47", 7.680
"2013/09/04 11:38:49", 7.340
"2013/09/04 11:38:51", 6.830
"2013/09/04 11:38:53", 6.710
"2013/09/04 11:38:55", 6.740
"2013/09/04 11:38:57", 6.560
"2013/09/04 11:38:59", 6.930
"2013/09/04 11:39:01", 6.740
"2013/09/04 11:39:03", 6.340
"2013/09/04 11:39:05", 6.240
"2013/09/04 11:39:07", 6.040
"2013/09/04 11:39:09", 6.050
"2013/09/04 11:39:11", 6.170
"2013/09/04 11:39:13", 6.420
"2013/09/04 11:39:15", 6.190
"2013/09/04 11:39:17", 6.350
"2013/09/04 11:39:19", 6.410
"2013/09/04 11:39:21", 6.220
"2013/09/04 11:39:23", 6.130
"2013/09/04 11:39:25", 6.360
"2013/09/04 11:39:27", 6.290
"2013/09/04 11:39:29", 6.170
"2013/09/04 11:39:31", 5.970
"2013/09/04 11:39:33", 6.470
"2013/09/04 11:39:35", 5.900
"2013/09/04 11:39:37", 5.840
"2013/09/04 11:39:39", 6.520
"2013/09/04 11:39:41", 6.620
"2013/09/04 11:39:43", 6.300
"2013/09/04 11:39:45", 6.150
"2013/09/04 11:39:47", 6.170
"2013/09/04 11:39:49", 5.930
"2013/09/04 11:39:51", 5.870
"2013/09/04 11:39:53", 6.180
"2013/09/04 11:39:55", 6.060
"2013/09/04 11:39:57", 6.280
"2013/09/04 11:39:59", 5.910
"2013/09/04 11:40:01", 6.200
"2013/09/04 11:40:03", 6.100
"2013/09/04 11:41:33", 5.820
"2013/09/04 11:41:35", 5.680
"2013/09/04 11:41:37", 5.640
"2013/09/04 11:41:39", 5.620
"2013/09/04 11:41:41", 5.620
"2013/09/04 11:41:43", 5.510
"2013/09/04 11:41:45", 5.640
"2013/09/04 11:41:47", 5.940
"2013/09/04 11:41:49", 5.640
"2013/09/04 11:41:51", 5.570
"2013/09/04 11:41:53", 5.750
"2013/09/04 11:41:55", 5.790
"2013/09/04 11:41:57", 5.580
"2013/09/04 11:41:59", 5.400
"2013/09/04 11:42:01", 5.390
"2013/09/04 11:42:03", 5.300
"2013/09/04 11:47:33", 5.010
"2013/09/04 11:47:35", 5.050
"2013/09/04 11:47:37", 4.980
"2013/09/04 11:47:39", 5.060
"2013/09/04 11:47:41", 5.140
"2013/09/04 11:47:43", 5.090
"2013/09/04 11:47:45", 5.170
"2013/09/04 11:47:47", 5.360
"2013/09/04 11:47:49", 5.550
"2013/09/04 11:47:51", 5.150
"2013/09/04 11:47:53", 5.220
"2013/09/04 11:47:55", 5.520
"2013/09/04 11:47:57", 5.110
"2013/09/04 11:47:59", 5.080
"2013/09/04 11:48:01", 5.220
"2013/09/04 11:50:33", 4.890
"2013/09/04 11:50:35", 4.970
"2013/09/04 11:50:37", 4.970
"2013/09/04 11:50:39", 5.180
"2013/09/04 11:50:41", 5.080
"2013/09/04 11:50:43", 4.900
"2013/09/04 11:50:45", 4.930
"2013/09/04 11:50:47", 4.840
"2013/09/04 11:50:49", 4.890
"2013/09/04 11:50:51", 4.780
"2013/09/04 11:50:53", 4.800
"2013/09/04 11:50:55", 4.770
"2013/09/04 11:50:57", 4.790
"2013/09/04 11:50:59", 4.840
"2013/09/04 11:51:01", 4.810
"2013/09/04 11:53:33", 4.890
"2013/09/04 11:53:35", 4.710
"2013/09/04 11:53:37", 4.590
"2013/09/04 11:53:39", 4.600
"2013/09/04 11:53:41", 4.740
"2013/09/04 11:53:43", 4.620
"2013/09/04 11:53:45", 4.740
"2013/09/04 11:53:47", 5.160
"2013/09/04 11:53:49", 5.080
"2013/09/04 11:53:51", 4.900
"2013/09/04 11:53:53", 4.890
"2013/09/04 11:53:55", 4.840
"2013/09/04 11:53:57", 4.700
"2013/09/04 11:53:59", 4.640
"2013/09/04 11:54:01", 4.710
"2013/09/04 11:56:33", 5.090
"2013/09/04 11:56:35", 5.040
"2013/09/04 11:56:37", 4.910
"2013/09/04 11:56:39", 5.050
"2013/09/04 11:56:41", 4.820
"2013/09/04 11:56:43", 4.650
"2013/09/04 11:56:45", 4.610
"2013/09/04 11:56:47", 4.710
"2013/09/04 11:56:49", 4.620
"2013/09/04 11:56:51", 4.890
"2013/09/04 11:56:53", 4.600
"2013/09/04 11:56:55", 4.610
"2013/09/04 11:56:57", 4.760
"2013/09/04 11:56:59", 4.570
"2013/09/04 11:57:01", 4.510
"2013/09/04 11:59:33", 4.290
"2013/09/04 11:59:35", 4.420
"2013/09/04 11:59:37", 4.400
"2013/09/04 11:59:39", 4.520
"2013/09/04 11:59:41", 4.390
"2013/09/04 11:59:43", 4.670
"2013/09/04 11:59:45", 4.450
"2013/09/04 11:59:47", 4.630
"2013/09/04 11:59:49", 4.580
"2013/09/04 11:59:51", 4.420
"2013/09/04 11:59:53", 4.420
"2013/09/04 11:59:55", 4.370
"2013/09/04 11:59:57", 4.400
"2013/09/04 11:59:59", 4.470
"2013/09/04 12:00:01", 4.360
"2013/09/04 12:02:33", 4.170
"2013/09/04 12:02:35", 4.260
"2013/09/04 12:02:37", 4.230
"2013/09/04 12:02:39", 4.330
"2013/09/04 12:02:41", 4.380
"2013/09/04 12:02:43", 4.260
"2013/09/04 12:02:45", 4.230
