time[YYYY-MM-DD hh:mm:ss PST], ph, water_temperature
"2013/10/01 00:23:49", 8.337, 16.045
"2013/10/01 00:23:57", 8.297, 16.061
"2013/10/01 00:26:49", 8.355, 16.025
"2013/10/01 00:26:53", 8.336, 16.020
"2013/10/01 00:26:57", 8.317, 16.032
"2013/10/01 00:29:48", 8.340, 15.986
"2013/10/01 00:29:52", 8.319, 15.992
"2013/10/01 00:29:56", 8.305, 16.008
"2013/10/01 00:30:00", 8.292, 16.013
"2013/10/01 00:32:45", 8.315, 16.009
"2013/10/01 00:32:53", 8.283, 16.046
"2013/10/01 00:32:57", 8.269, 16.039
"2013/10/01 00:35:53", 8.297, 16.099
"2013/10/01 00:35:57", 8.276, 16.088
"2013/10/01 00:38:49", 8.290, 16.112
"2013/10/01 00:38:55", 8.273, 16.122
"2013/10/01 00:38:59", 8.261, 16.124
"2013/10/01 00:39:07", 8.238, 16.141
"2013/10/01 00:39:11", 8.231, 16.141
"2013/10/01 00:39:19", 8.210, 16.150
"2013/10/01 00:39:27", 8.193, 16.153
"2013/10/01 00:39:31", 8.184, 16.161
"2013/10/01 00:39:35", 8.177, 16.162
"2013/10/01 00:39:39", 8.170, 16.170
"2013/10/01 00:39:47", 8.160, 16.172
"2013/10/01 00:39:51", 8.152, 16.171
"2013/10/01 00:39:55", 8.146, 16.175
"2013/10/01 00:39:59", 8.142, 16.171
"2013/10/01 00:41:51", 8.203, 16.134
"2013/10/01 00:41:55", 8.201, 16.140
"2013/10/01 00:41:59", 8.196, 16.141
"2013/10/01 00:44:47", 8.272, 16.115
"2013/10/01 00:44:59", 8.239, 16.128
"2013/10/01 00:47:47", 8.279, 16.136
"2013/10/01 00:47:51", 8.265, 16.140
"2013/10/01 00:47:55", 8.254, 16.151
"2013/10/01 00:47:59", 8.237, 16.150
"2013/10/01 00:50:46", 8.267, 16.136
"2013/10/01 00:50:51", 8.261, 16.137
"2013/10/01 00:50:55", 8.248, 16.136
"2013/10/01 00:50:59", 8.232, 16.141
"2013/10/01 00:53:47", 8.252, 16.136
"2013/10/01 00:53:55", 8.238, 16.143
"2013/10/01 00:53:59", 8.228, 16.150
"2013/10/01 00:56:47", 8.261, 16.138
"2013/10/01 00:56:51", 8.249, 16.141
"2013/10/01 00:56:55", 8.233, 16.139
"2013/10/01 00:59:47", 8.272, 16.132
"2013/10/01 00:59:51", 8.261, 16.133
"2013/10/01 00:59:55", 8.234, 16.136
"2013/10/01 00:59:59", 8.224, 16.136
"2013/10/01 01:02:47", 8.392, 16.033
"2013/10/01 01:02:55", 8.357, 16.050
"2013/10/01 01:02:59", 8.352, 16.058
"2013/10/01 01:05:47", 8.255, 16.093
"2013/10/01 01:05:51", 8.247, 16.094
"2013/10/01 01:05:55", 8.239, 16.096
"2013/10/01 01:08:51", 8.241, 16.092
"2013/10/01 01:08:57", 8.238, 16.093
"2013/10/01 01:11:50", 8.279, 16.065
"2013/10/01 01:11:54", 8.261, 16.069
"2013/10/01 01:14:45", 8.255, 16.068
"2013/10/01 01:14:49", 8.245, 16.061
"2013/10/01 01:17:49", 8.245, 16.103
"2013/10/01 01:17:53", 8.234, 16.100
"2013/10/01 01:17:57", 8.227, 16.098
"2013/10/01 01:23:45", 8.240, 16.099
"2013/10/01 01:23:49", 8.226, 16.101
"2013/10/01 01:23:53", 8.213, 16.110
"2013/10/01 01:23:57", 8.204, 16.109
"2013/10/01 01:26:49", 8.317, 16.136
"2013/10/01 01:26:57", 8.308, 16.147
"2013/10/01 10:32:55", 8.001, 16.078
"2013/10/01 10:32:59", 8.009, 16.074
"2013/10/01 10:35:47", 8.176, 15.845
