time,fsc,fsc.sd,par
1378853375,331.3068424,79.94411823,428.056
1378856975,349.5030634,89.84724088,383.9575
1378860575,365.2625173,119.1252524,340.62
1378864175,370.6437751,43.11641349,265.349
1378867775,371.1099474,25.0343404,192.3595
1378871375,371.7223549,56.69458921,107.9645
1378874975,388.5083555,42.90762856,46.379
1378878575,455.4978162,62.94071234,4.562
1378882175,563.9081556,52.02344427,0
1378885775,558.8050897,80.61398972,0
1378889375,530.6443347,76.7243583,0
1378892975,490.2629998,30.09005645,0
1378896575,485.0324601,27.5470139,0
1378900175,468.9044099,27.17279831,0
1378903775,463.2657573,35.77932613,0
1378907375,439.4717237,90.63506137,0
1378910975,414.7960413,20.68846426,0
1378914575,394.3639649,65.32470326,0
1378918175,378.4708598,26.12372935,0
1378921775,365.5489745,24.67057981,6.0825
1378925375,433.4941963,25.80426341,44.8585
1378928975,436.4105747,34.30701718,90.4775
1378932575,452.5965798,42.02453358,178.6735
1378936175,462.5852967,61.46574213,180.1945
1378939775,477.8755719,27.90259738,212.8875
1378943375,513.9668194,83.81159896,244.821
1378946975,523.0869091,52.20321533,245.3276667
1378950575,526.6127053,67.88603828,228.854
1378954175,537.6393268,47.62909518,149.7815
1378957775,NA,NA,72.2295
1378961375,NA,NA,24.33
1378964975,NA,NA,0.7605
1378968575,NA,NA,0
1378972175,NA,NA,0
1378975775,NA,NA,0
1378979375,NA,NA,0
1378982975,NA,NA,0
1378986575,NA,NA,0
1378990175,NA,NA,0
1378993775,NA,NA,0
1378997375,NA,NA,0
1379000975,483.1163068,7.711806302,0
1379004575,441.4598747,34.15713851,0
1379008175,362.910181,26.01842636,0
1379011775,NA,NA,34.9745
1379015375,NA,NA,69.949
1379018975,NA,NA,102.642
1379022575,NA,NA,132.2945
1379026175,397.7769466,88.95728892,177.913
1379029775,415.6891385,74.98295052,305.6455
1379033375,411.858083,90.27041934,323.8935
1379036975,414.2674165,68.22620395,248.6225
1379040575,424.250209,104.8044498,179.4335
1379044175,463.3740703,78.66828413,88.70333333
1379047775,482.8970069,51.09421849,20.5285
1379051375,466.0515911,34.88156861,0.7605
1379054975,487.8404265,85.73071612,0
1379058575,500.7975537,91.89252873,0
1379062175,491.2728124,68.79109307,0
1379065775,475.6820664,87.1342506,0
1379069375,495.8219951,53.42626114,0
1379072975,369.6486519,33.53705485,0
1379076575,311.2883398,33.44086783,0
1379080175,327.6281951,71.20798316,0
1379083775,314.9475222,77.11084653,0
1379087375,308.9805715,93.61678847,0
1379090975,NA,NA,0
1379094575,NA,NA,7.603
1379098175,NA,NA,34.214
1379101775,NA,NA,82.874
1379105375,NA,NA,155.104
1379108975,NA,NA,164.2275
1379112575,NA,NA,192.359
1379116175,NA,NA,261.5475
1379119775,NA,NA,291.2
1379123375,NA,NA,245.581
1379126975,NA,NA,182.475
1379130575,NA,NA,150.542
1379134175,NA,NA,60.825
1379137775,NA,NA,5.322
1379141375,NA,NA,0
1379144975,NA,NA,0
1379148575,NA,NA,0
1379152175,NA,NA,0
1379155775,NA,NA,0
1379159375,NA,NA,0
1379162975,NA,NA,0
1379166575,NA,NA,0
1379170175,NA,NA,0
1379173775,NA,NA,0
1379177375,NA,NA,0
1379180975,NA,NA,7.603
1379184575,NA,NA,33.4535
1379188175,NA,NA,86.676
1379191775,NA,NA,247.1015
1379195375,NA,NA,174.872
1379198975,NA,NA,282.836
1379202575,NA,NA,428.056
1379206175,NA,NA,165.748
1379209775,NA,NA,156.6245
1379213375,NA,NA,140.658
1379216975,NA,NA,52.4615
1379220575,NA,NA,33.454
1379224175,NA,NA,1.5205
1379227775,NA,NA,0
1379231375,NA,NA,0
1379234975,NA,NA,0
1379238575,NA,NA,0
1379242175,NA,NA,0
1379245775,NA,NA,0
1379249375,NA,NA,0
1379252975,NA,NA,0
1379256575,NA,NA,0
1379260175,NA,NA,0
1379263775,NA,NA,0
1379267375,NA,NA,7.6035
1379270975,NA,NA,74.511
1379274575,NA,NA,124.6915
1379278175,NA,NA,170.31
1379281775,NA,NA,212.8875
1379285375,NA,NA,476.716
1379288975,NA,NA,562.6315
1379292575,NA,NA,631.8195
1379296175,NA,NA,551.987
1379299775,NA,NA,321.6125
1379303375,NA,NA,241.019
1379306975,NA,NA,141.4185
1379310575,NA,NA,10.6445
1379314175,NA,NA,0
1379317775,NA,NA,0
1379321375,NA,NA,0
1379324975,NA,NA,0
1379328575,NA,NA,0
1379332175,NA,NA,0
1379335775,NA,NA,0
1379339375,NA,NA,0
1379342975,NA,NA,0
1379346575,NA,NA,0
1379350175,NA,NA,0
1379353775,NA,NA,44.098
1379357375,NA,NA,222.7715
1379360975,310.4090204,117.1264473,294.241
