file,info,depth,time,vol
Francois.20140319.A.0001.fcs,9,B,9/10/13 10:00:00 PM,0.08
Francois.20140319.A.0002.fcs,5,S,9/10/13 4:00:00 PM,0.08
Francois.20140319.A.0003.fcs,9,B,9/10/13 10:00:00 AM,0.08
Francois.20140319.A.0004.fcs,37,S,9/17/13 1:15:00 PM,0.05
Francois.20140319.A.0005.fcs,55,M,9/20/13 3:05:00 PM,0.05
Francois.20140319.A.0006.fcs,60,B,9/23/13 5:02:00 PM,0.09
Francois.20140319.A.0007.fcs,77,B,9/26/13 10:30:00 AM,0.09
Francois.20140319.A.0008.fcs,83,B,9/27/13 10:00:00 AM,0.1
Francois.20140319.A.0009.fcs,93,M,9/30/13 11:45:00 AM,0.09
Francois.20140319.A.0010.fcs,103,M,10/2/13 12:30:00 PM,0.08
Francois.20140319.A.0011.fcs,111,S,10/3/13 1:50:00 PM,0.08
Francois.20140321.A.0001.fcs,7,M,9/10/13 10:00:00 AM,0.03
Francois.20140321.A.0002.fcs,19,M,9/12/13 9:51:00 AM,0.12
Francois.20140321.A.0003.fcs,51,S,9/19/13 4:30:00 PM,0.07
Francois.20140321.A.0004.fcs,63,S,9/23/13 5:02:00 PM,0.07
Francois.20140321.A.0005.fcs,89,B,9/30/13 11:45:00 AM,0.09
Francois.20140321.A.0006.fcs,95,B,10/1/13 11:50:00 AM,0.11
Francois.20140321.A.0007.fcs,107,B,10/3/13 1:50:00 PM,0.11
Ribalet.20140327.A.0001.fcs,17,S,9/12/13 9:51:00 AM,0.09
Ribalet.20140327.A.0002.fcs,27,B,9/13/13 9:15:00 AM,0.09
Ribalet.20140327.A.0003.fcs,31,S,9/16/13 12:38:00 PM,0.09
Ribalet.20140327.A.0004.fcs,65,B,9/24/13 3:23:00 PM,0.04
Ribalet.20140327.A.0005.fcs,73,M,9/25/13 2:57:00 PM,0.1
Ribalet.20140328.A.0001.fcs,23,S,9/13/13 9:27:00 AM,0.07
Ribalet.20140328.A.0002.fcs,33,B,9/16/13 12:40:00 PM,0.09
Ribalet.20140328.A.0003.fcs,85,M,9/27/13 10:05:00 AM,0.11
Ribalet.20140328.A.0004.fcs,99,S,10/1/13 11:40:00 AM,0.08
Ribalet.20140328.A.0005.fcs,109,M,10/3/13 1:50:00 PM,0.05
Ribalet.20140403.A.0001.fcs,1,S,9/9/13 4:38:00 PM,0.12
Ribalet.20140403.A.0002.fcs,15,B,9/11/13 9:30:00 AM,0.09
Ribalet.20140403.A.0003.fcs,25,M,9/13/13 9:20:00 AM,0.012
Ribalet.20140403.A.0004.fcs,39,B,9/17/13 1:15:00 PM,0.13
Ribalet.20140403.A.0005.fcs,57,S,9/20/13 3:05:00 PM,0.09
Ribalet.20140403.A.0006.fcs,67,M,9/24/13 3:28:00 PM,0.1
Ribalet.20140403.A.0007.fcs,81,S,9/26/13 10:30:00 AM,0.08
Ribalet.20140403.A.0008.fcs,97,M,10/1/13 11:45:00 AM,0.06
Ribalet.20140403.A.0009.fcs,3,B,9/9/13 4:40:00 PM,0.08
Ribalet.20140403.A.0010.fcs,5,M,9/9/13 4:40:00 PM,0.15
Ribalet.20140403.A.0011.fcs,47,B,9/19/13 4:30:00 PM,0.07
Ribalet.20140403.A.0012.fcs,75,S,9/25/13 2:45:00 PM,0.07
Ribalet.20140403.A.0013.fcs,69,S,9/24/13 3:34:00 PM,0.08
Ribalet.20140404.A.0001.fcs,11,S,9/11/13 9:30:00 AM,0.07
Ribalet.20140404.A.0002.fcs,21,B,9/12/13 9:51:00 AM,0.07
Ribalet.20140404.A.0003.fcs,29,M,9/16/13 12:35:00 PM,0.13
Ribalet.20140404.A.0004.fcs,35,M,9/17/13 1:15:00 PM,0.11
Ribalet.20140404.A.0005.fcs,41,B,9/18/13 1:50:00 PM,0.05
Ribalet.20140404.A.0006.fcs,61,M,9/23/13 5:02:00 PM,0.08
Ribalet.20140404.A.0007.fcs,79,M,9/26/13 10:30:00 AM,0.08
Ribalet.20140404.A.0008.fcs,87,S,9/27/13 10:03:00 AM,0.09
Ribalet.20140404.A.0009.fcs,93,S,9/30/13 11:45:00 AM,0.08
Ribalet.20140404.A.0010.fcs,101,B,10/2/13 12:30:00 PM,0.07
Ribalet.20140826.A.0001.fcs,13,M,9/11/13 9:30:00 AM,0.05
Ribalet.20140826.A.0002.fcs,43,M,9/18/13 1:50:00 PM,0.1
Ribalet.20140826.A.0003.fcs,45,S,9/18/13 1:50:00 PM,0.1
Ribalet.20140826.A.0004.fcs,49,M,9/19/13 4:30:00 PM,0.08
Ribalet.20140826.A.0005.fcs,53,B,9/20/13 3:05:00 PM,0.08
Ribalet.20140826.A.0006.fcs,71,B,9/25/13 2:43:00 PM,0.09
Ribalet.20140826.A.0007.fcs,105,S,10/2/13 12:30:00 PM,0.06
