"file","info","pop","n","fsc","chl","pe"
"Francois.20140319.A.0001.fcs","9 B","beads","1235","50701","29314","48564"
"Francois.20140319.A.0001.fcs","9 B","synecho","462","18101","10753","13192"
"Francois.20140319.A.0001.fcs","9 B","crypto1","71","27050","24858","33147"
"Francois.20140319.A.0001.fcs","9 B","crypto2","211","30390","23569","28029"
"Francois.20140319.A.0002.fcs","5 S","beads","436","44836","27795","50108"
"Francois.20140319.A.0002.fcs","5 S","synecho","1744","19802","11762","12395"
"Francois.20140319.A.0002.fcs","5 S","crypto1","18","29882","23603","31325"
"Francois.20140319.A.0002.fcs","5 S","crypto2","258","33644","23245","24085"
"Francois.20140319.A.0003.fcs","9 B","beads","1188","50562","29304","48527"
"Francois.20140319.A.0003.fcs","9 B","synecho","839","19493","11268","12697"
"Francois.20140319.A.0003.fcs","9 B","crypto1","87","27721","24878","33379"
"Francois.20140319.A.0003.fcs","9 B","crypto2","160","31886","24931","30935"
"Francois.20140319.A.0004.fcs","37 S","beads","652","44358","27776","50259"
"Francois.20140319.A.0004.fcs","37 S","synecho","152","17950","7710","12180"
"Francois.20140319.A.0004.fcs","37 S","crypto1","181","26709","18929","29556"
"Francois.20140319.A.0004.fcs","37 S","crypto2","186","28959","17058","25823"
"Francois.20140319.A.0005.fcs","55 M","beads","1160","44551","27822","50269"
"Francois.20140319.A.0005.fcs","55 M","synecho","98","18963","13810","14177"
"Francois.20140319.A.0005.fcs","55 M","crypto1","143","25297","22306","31370"
"Francois.20140319.A.0005.fcs","55 M","crypto2","120","27696","21720","26645"
"Francois.20140319.A.0006.fcs","60 B","beads","1500","49866","29734","49014"
"Francois.20140319.A.0006.fcs","60 B","synecho","453","18381","14579","15674"
"Francois.20140319.A.0006.fcs","60 B","crypto1","588","22759","22065","30515"
"Francois.20140319.A.0006.fcs","60 B","crypto2","804","24915","20551","26468"
"Francois.20140319.A.0007.fcs","77 B","beads","1325","49878","29643","48928"
"Francois.20140319.A.0007.fcs","77 B","synecho","370","19395","16181","19959"
"Francois.20140319.A.0007.fcs","77 B","crypto1","830","25318","26377","34880"
"Francois.20140319.A.0007.fcs","77 B","crypto2","41","30582","22813","28926"
"Francois.20140319.A.0008.fcs","83 B","beads","1356","49821","29617","48872"
"Francois.20140319.A.0008.fcs","83 B","synecho","234","19420","16030","18360"
"Francois.20140319.A.0008.fcs","83 B","crypto1","828","25786","26476","35040"
"Francois.20140319.A.0008.fcs","83 B","crypto2","49","30305","24393","27180"
"Francois.20140319.A.0009.fcs","93 M","beads","1329","49977","29616","48887"
"Francois.20140319.A.0009.fcs","93 M","synecho","851","19280","17524","20560"
"Francois.20140319.A.0009.fcs","93 M","crypto1","295","23352","26267","35349"
"Francois.20140319.A.0009.fcs","93 M","crypto2","297","26504","26196","33477"
"Francois.20140319.A.0010.fcs","103 M","beads","1383","50015","29690","48973"
"Francois.20140319.A.0010.fcs","103 M","synecho","470","19623","18412","21670"
"Francois.20140319.A.0010.fcs","103 M","crypto1","764","25065","26872","35942"
"Francois.20140319.A.0010.fcs","103 M","crypto2","29","31927","28188","32286"
"Francois.20140319.A.0011.fcs","111 S","beads","511","44015","27484","50219"
"Francois.20140319.A.0011.fcs","111 S","synecho","800","20331","19223","22355"
"Francois.20140319.A.0011.fcs","111 S","crypto1","261","25538","27361","36382"
"Francois.20140319.A.0011.fcs","111 S","crypto2","88","34523","26780","32639"
"Francois.20140321.A.0001.fcs","7 M","beads","284","50119","29865","49108"
"Francois.20140321.A.0001.fcs","7 M","synecho","552","18634","10469","14364"
"Francois.20140321.A.0001.fcs","7 M","crypto1","8","18692","14530","26235"
"Francois.20140321.A.0001.fcs","7 M","crypto2","309","31362","15880","24324"
"Francois.20140321.A.0002.fcs","19 M","beads","1904","50052","29681","48955"
"Francois.20140321.A.0002.fcs","19 M","synecho","1177","18831","15662","16516"
"Francois.20140321.A.0002.fcs","19 M","crypto1","701","26572","25511","33480"
"Francois.20140321.A.0002.fcs","19 M","crypto2","143","31061","25540","27537"
"Francois.20140321.A.0003.fcs","51 S","beads","1172","49802","29589","48863"
"Francois.20140321.A.0003.fcs","51 S","synecho","1160","19301","8937","12114"
"Francois.20140321.A.0003.fcs","51 S","crypto1","252","28456","19527","30433"
"Francois.20140321.A.0003.fcs","51 S","crypto2","248","31346","17693","25196"
"Francois.20140321.A.0004.fcs","63 S","beads","1287","49877","29667","48897"
"Francois.20140321.A.0004.fcs","63 S","synecho","499","18448","14592","16089"
"Francois.20140321.A.0004.fcs","63 S","crypto1","638","22546","21734","29860"
"Francois.20140321.A.0004.fcs","63 S","crypto2","829","25278","21186","26037"
"Francois.20140321.A.0005.fcs","89 B","beads","1277","49866","29601","48846"
"Francois.20140321.A.0005.fcs","89 B","synecho","794","19026","18392","20729"
"Francois.20140321.A.0005.fcs","89 B","crypto1","327","23466","26341","35559"
"Francois.20140321.A.0005.fcs","89 B","crypto2","335","25689","25837","32825"
